# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;cara moi riseira;cara|cara moi riseira|sorriso
😃;cara moi riseira con ollos grandes;aberta|boca|cara|cara moi riseira con ollos grandes|sorriso
😄;cara moi riseira cos ollos alegres;boca|cara|cara moi riseira cos ollos alegres|ollos|sorriso
😁;cara radiante cos ollos alegres;cara radiante cos ollos alegres|ollos alegres|sorriso
😆;cara rindo ás gargalladas;cara rindo ás gargalladas|gargalladas|ollos pechados|rir|risa
😅;cara moi riseira cunha pinga de suor;boca|cara|cara moi riseira cunha pinga de suor|sorriso|suor
🤣;cara esmendrellándose de risa;cara esmendrellándose de risa|escachar|esmendrellarse|gargallada|risa
😂;cara chorando de risa;alegría|bágoas|cara chorando de risa|chorar de risa|escachar|risa
🙂;cara cun leve sorriso;cara|cara cun leve sorriso|sorriso
🙃;cara ao revés;cara|cara ao revés|revés
🫠;cara derreténdose;cara derreténdose|derreterse|desaparecer|disolverse|líquido
😉;cara chiscando un ollo;cara|cara chiscando un ollo|chiscadela|ollo
😊;cara alegre con ollos riseiros;alegre|cara alegre con ollos riseiros|ollos|sorriso
😇;cara riseira con auréola;anxo|auréola|cara riseira con auréola|santa|santo
🥰;cara riseira con corazóns;amor|cara riseira con corazóns|corazóns|encántame|namoramento|paixón
😍;cara con ollos en forma de corazón;amor|cara|cara con ollos en forma de corazón|corazóns|sorriso
🤩;cara con ollos en forma de estrela;cara|cara con ollos en forma de estrela|estrela|felicidade|ollos
😘;cara mandando un bico;bico|cara|cara mandando un bico|corazón
😗;cara dando un bico;bico|cara|cara dando un bico
☺️;cara riseira;cara|cara riseira|sorriso
😚;cara dando un bico cos ollos pechados;bico|cara|cara dando un bico cos ollos pechados|coloretes|ollos
😙;cara dando un bico con ollos riseiros;bico|cara dando un bico con ollos riseiros|dar un bico|ollos riseiros
🥲;cara riseira con bágoa;agradecido|bágoa|cara riseira con bágoa|emocionado|orgulloso
😋;cara de saborear algo delicioso;cara de saborear algo delicioso|delicioso|rico|saborear
😛;cara sacando a lingua;broma|cara|cara sacando a lingua|lingua
😜;cara sacando a lingua e chiscando un ollo;broma|cara|cara sacando a lingua e chiscando un ollo|chiscadela|lingua
🤪;cara de tolo;cara|cara de tolo|ollo|tolemia|tolo
😝;cara sacando a lingua e cos ollos pechados;cara|cara sacando a lingua e cos ollos pechados|lingua|noxo|ollos pechados
🤑;cara de pensar en cartos;cara|cara de pensar en cartos|cartos|diñeiro
🤗;cara dando un abrazo;abrazo|cara|cara dando un abrazo
