# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;laia naeratusega nägu;irve|laia naeratusega nägu|naeratus|nägu
😃;suurte silmadega naerunägu;avatud|avatud suuga naerunägu|lahti|naeratus|nägu|suu|suurte silmadega naerunägu
😄;avatud suu ja naeratavate silmadega naerunägu;avatud|avatud suu ja naeratavate silmadega naerunägu|lahti|naeratus|nägu|silm|suu
😁;naerul silmade ja laia naeratusega nägu;irve|naeratus|naerul silmade ja laia naeratusega nägu|nägu|silm
😆;avatud suu ja suletud silmadega naerunägu;avatud suu ja suletud silmadega naerunägu|lahti|naer|naeratus|nägu|rahul|suu
😅;higipiisa ja avatud suuga naerunägu;avatud|higi|higipiisa ja avatud suuga naerunägu|külm|külma higiga kaetud ja avatud suuga naerunägu|naeratus|nägu
🤣;naerust kõveras;kõver|naer|naerust kõveras
😂;rõõmupisaratega nägu;naer|nägu|pisar|rõõm|rõõmupisaratega nägu
🙂;naeratusega nägu;naeratus|naeratusega nägu|nägu
🙃;tagurpidi nägu;nägu|tagurpidi
🫠;sulav nägu;kaduma|lahustuma|sulama|sulav nägu|vedel
😉;silma pilgutav nägu;nägu|silma pilgutav nägu|silmapilgutus
😊;naeratavate silmadega naerunägu;naeratavate silmadega naerunägu|naeratus|nägu|punastamine|silm
😇;aupaistega naerunägu;aupaistega naerunägu|fantaasia|halo|ingel|naeratus|nägu|süütu
🥰;naeratav südametega nägu;armunud|imetlev|naeratav kolme südamega nägu|naeratav südametega nägu|sisse võetud
😍;südamekujuliste silmadega naerunägu;armastus|naeratus|nägu|silm|süda|südamekujuliste silmadega naerunägu
🤩;staariga silmitsi;nägu|silmad|staar|staariga silmitsi|suu kõrvuni
😘;suudlust saatev nägu;nägu|süda|suudlus|suudlust saatev nägu
😗;suudlev nägu;nägu|suudlev nägu|suudlus
☺️;naerunägu;naeratus|naerunägu|nägu|piirjoon|rahulik
😚;suletud silmadega suudlev nägu;nägu|silm|suletud|suletud silmadega suudlev nägu|suudlus
😙;naeratavate silmadega suudlev nägu;naeratavate silmadega suudlev nägu|naeratus|nägu|silm|suudlus
🥲;naeratav pisaraga nägu;kergendus|liigutatud|naeratav|naeratav pisaraga nägu|pisar|uhke
😋;maitsvat toitu nautija nägu;maitsev|maitsvat toitu nautija nägu|naeratus|nägu|nautimine
😛;suust väljas keelega nägu;keel|nägu|suust väljas keelega nägu
😜;suust väljas keelega ja silma pilgutav nägu;keel|nägu|nali|silm|silmapilgutus|suust väljas keelega ja silma pilgutav nägu
🤪;pöörase ilmega nägu;pöörase ilmega nägu|silm|suur|väike
😝;keelt näitav suletud silmadega nägu;keel|keelt näitav suletud silmadega nägu|maitse|nägu|õudne|silm|suust väljas keelega ja suletud silmadega nägu
🤑;nägu, millel on raha suus;millel on raha suus|nägu|nägu, millel on raha suus|raha|suu
🤗;kallistav nägu;kallistamine|kallistav nägu|kallistus|nägu
🤭;kätt suul hoidev nägu;kätt suul hoidev nägu|ups
🫢;kätt suul hoidev pärani silmadega nägu;aukartus|hämming|kartlikkus|kätt suul hoidev pärani silmadega nägu|piinlikkus|üllatunud|uskumatus
🫣;käte vahelt piiluva silmaga nägu;haaratud|käte vahelt piiluva silmaga nägu|piiluma|vahtima
🤫;sõrme suul hoidev nägu;kuss!|sõrme suul hoidev nägu|vaikust
🤔;mõtlev nägu;mõtlemine|mõtlev nägu|nägu
🫡;au andev nägu;anname au|au andev nägu|jah|ok|päikeseline|sõjavägi
🤐;tõmblukusuuga nägu;nägu|suu|tõmblukk|tõmblukusuuga nägu
🤨;kergitatud kulmudega nägu;kergitatud kulmudega nägu|skeptiline|umbusaldav
😐;erapooletu nägu;erapooletu nägu|nägu|neutraalne|surmtõsine
😑;ilmetu nägu;ilmetu|mittemidagiütlev|nägu|väheütlev
😶;ilma suuta nägu;ilma suuta nägu|nägu|suu|vaikne|vaikus
🫥;punktiirjoonega nägu;introvertne|kaduma|masenduses|nähtamatu|peitma|punktiirjoonega nägu
😶‍🌫️;nägu pilvedes;hajameelne|nägu pilvedes|nägu udus|pea pilvedes
😏;muigav nägu;irvitus|muigav nägu|nägu
😒;põlglik nägu;nägu|õnnetu|põlglik
🙄;pööritavate silmadega nägu;nägu|pööritamine|pööritavate silmadega nägu|silmad
😬;grimassitav nägu;grimass|grimassitav nägu|nägu
😮‍💨;väljahingav nägu;kergendus|ohkamine|sosistamine|väljahingamine|väljahingav nägu|vilistamine
🤥;valetav nägu;nägu|vale|valetav nägu
🫨;värisev nägu;maavärin|nägu|šokk|värin|värisev nägu|vibratsioon
🙂‍↔️;pearaputus;ei|pearaputus|raputus
🙂‍↕️;peanoogutus;jah|noogutus|peanoogutus
😌;kergendust tundev nägu;kergendus|kergendust tundev nägu|nägu
😔;mõtlik nägu;mõtlik|nägu|nukker
😪;unine nägu;magamine|nägu|unine nägu
🤤;ilastav nägu;ila|ilastav nägu|nägu
😴;magav nägu;magav nägu|nägu|uni|zzz
😷;kirurgimaskiga kaetud nägu;arst|haige|kirurgimaskiga kaetud nägu|külm|mask|nägu|ravim
🤒;kraadiklaasiga nägu;haige|kraadiklaas|kraadiklaasiga nägu|nägu
🤕;kinniseotud peaga nägu;kinniseotud|kinniseotud peaga nägu|nägu|side|vigastus
🤢;iiveldust tundev nägu;iiveldus|iiveldust tundev nägu|nägu|okse
🤮;oksendav nägu;iiveldus|okse|oksendav nägu
🤧;aevastav nägu;aevastav nägu|aevastus|nägu|terviseks
🥵;higistav nägu;higistav|higistav nägu|kuumarabandus|näost punane|palavikuline
🥶;külmunud nägu;jääpurikad|jäätuv|külmakahjustus|külmunud|külmunud nägu|näost sinine
🥴;uimane nägu;alkoholiuimas|joobnud|lainelised huuled|oimetu|uimane nägu|üks silm poolkinni
😵;oimetu nägu;nägu|oimetu
😵‍💫;spiraalsilmadega nägu;hüpnotiseeritud|probleem|spiraalne|spiraalsilmadega nägu|uimane
🤯;plahvatav pea;plahvatav pea|šokeeritud
🤠;kauboimütsiga nägu;kauboi|kauboimütsiga nägu|müts|nägu
🥳;pidutsev nägu;müts|peovile|pidu|pidutsemine|pidutsev nägu
🥸;maskeeritud nägu;inkognito|maskeerima|maskeeritud nägu|nägu|nina|prillid
😎;päikeseprillidega naerunägu;ere|lahe|naeratus|nägu|päike|päikeseprillid|päikeseprillidega naerunägu
🤓;nohiku nägu;friik|nägu|nohik|nohiku nägu
🧐;monokliga nägu;monokliga nägu|vanamoeline
😕;segaduses nägu;nägu|segaduses
🫤;diagonaalse suuga nägu;diagonaalse suuga nägu|kahtlev|pettunud|skeptiline
