# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;gülən üz;gülən üz|gülmək|üz
😃;açıq ağızla gülən üz;açıq|açıq ağızla gülən üz|ağız|ağzıaçıq gülən üz|təbəssüm|üz
😄;açıq ağız və gülən gözlərlə gülən üz;açıq|açıq ağız və gülən gözlərlə gülən üz|ağız|göz|gülüş|təbəssüm|üz|xoşbəxt
😁;gülən gözlərlə gülən üz;dişini ağardaraq gülən üz|göz|gülən gözlərlə gülən üz|gülmək|təbəssüm|üz
😆;açıq ağız və bərk yumulmuş gözlərlə gülən üz;açıq|açıq ağız və bərk yumulmuş gözlərlə gülən üz|ağız|gülümsəmə|gülüş|hahahah|məmnun|təbəssüm|ürəkdən gülən üz|üz
😅;açıq ağız və soyuq tərlə gülən üz;açıq|açıq ağız və soyuq tərlə gülən üz|gülmək|soyuq|təbəssüm|tər|üz
🤣;gülməkdən nəfəsi kəsilmək;diyirlənən|gülməkdən nəfəsi kəsilmək|gülüş|hahahah|şən|üz|yer
😂;sevinc göz yaşları olan üz;ahahahah|göz yaşı|gülməkdən gözü yaşaran üz|gülüş|hahahah|sevinc|sevinc göz yaşları olan üz|üz
🙂;yüngülcə gülümsəyən üz;incə şəkildə gülümsəyən üz|nəzakətlə gülümsəyən üz|təbəssüm|üz|yüngülcə gülümsəyən üz
🙃;başı-aşağı üz;baş-aşağı|başı-aşağı üz|üz
🫠;əriyən üz;çaşqın|əridir|ərimək|əriyən|əriyən üz|haha|həll|istehza|istehzalı|isti|istilik|lol|maye|yox olmaq
😉;göz vuran üz;cəzbedici|göz vuran üz|göz vurmaq|sataşmaq|üz
😊;gülən gözlərlə gülümsəyən üz;göz|gülən gözlərlə gülümsəyən üz|təbəssüm|utancaq üz|utanma|utanmaq|üz
😇;başında halə gülmsəyən üz;başında halə gülmsəyən üz|fantastika|günahsız üz ifadəsi|halə|mələk|mələk emojisi|məsum|sakit üz
🥰;3 ürəkli təbəssümlü üz;3 ürəkli təbəssümlü üz|aşiqlik|sevgi|səni sevirəm|vurulmaq
😍;ürək formalı gözləri olan gülən üz;göz|sevgi|təbəssüm|ürək|ürək formalı gözləri olan gülən üz|üz
🤩;ulduza heyranlıq;gözlər|gözündən ulduz çıxan üz|gülən|sevincli üz|ulduz|ulduza heyranlıq|üz
😘;öpüş göndərən üz;öpüş|öpüş göndərən üz|sevgi işarəsi|ürək|üz
😗;öpən üz;öpən üz|öpüş|üz
☺️;gülümsəyən üz;gülümsəyən üz|rahat|sakit|təbəssüm|üz
😚;bağlı gözlərlə öpən üz;bağlı|bağlı gözlərlə öpən üz|göz|gözləri bağlı öpən üz|öpüş|utancaq üz|üz
😙;gülən gözlərlə öpən üz;göz|gülən gözlərlə öpən üz|öpüş|təbəssüm|üz
🥲;göz yaşları ilə gülümsəyən üz;ağrı|göz yaşı|göz yaşları ilə gülümsəyən üz|gülümsəyir|həyəcanlı|lovğa|məmnun|qürurlu|sevincli|xoşbəxt|yüngül
😋;dadlı yeməkdən həzz alan üz;dadlı|dadlı yeməkdən həzz alan üz|həzz almaq|təbəssüm|um|üz|yum
😛;dilini çıxarmış üz;dil|dilini çıxarmış üz|dilini çıxartmış üz|möhtəşəm|şirin|üz
😜;dilini çıxarmış və göz vuran üz;dil|dilini çıxarmış və göz vuran üz|göz|göz vurmaq|üz|zarafat
🤪;dəcəl üz;böyük|dəcəl üz|dəcəl üz ifadəsi|göz|kiçik
😝;dilini çıxarmış və gözlərini möhkəm bağlamış üz;dad|dil|dilini çıxarmış və gözlərini möhkəm bağlamış üz|göz|gözlərini bağlamış və dilini çıxarmış emoji|qorxulu|üz
🤑;ağzı pul olan üz;ağız|ağzı pul olan üz|pul|pulu çox sevən üz|üz
🤗;qucaqlayan üz;qucaqlama|qucaqlaşmaq|qucaqlayan üz|üz
🤭;ağzını əli ilə örtmüş üz;ağzını əli ilə örtmüş üz|gözlənilməz sürpriz|təəccüblü üz|vay
