# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;широко улыбается;лицо|радость|смех|счастье|улыбка
😃;смеется;весело|лицо|радость|рот|смеется|смех|улыбка
😄;смеется с закрытыми глазами;глаза|закрытые|лицо|радость|смеется|смех|смеяться|улыбка
😁;светится от счастья;весело|глаза|зубы|лицо|ржать|смех|счастье|улыбка|ухмылка|широкая
😆;смеется с прищуренными глазами;глаза|закрытые|лол|радость|смех|смешно|угораю|улыбка|ха-ха|хохот
😅;нервно смеется;лол|нервный|облегчение|открытый|пот|рот|смех|стресс|улыбка|широкая
🤣;катается со смеху;глаза|катаюсь|плач|пол|ржака|ржач|слезы|умора|ха-ха|хохот
😂;смеется до слез;глаза|лол|плач|ржака|ржач|ржунимагу|слезы|смешно|умора|ха-ха
🙂;слегка улыбается;легкая|лицо|радость|смайлик|улыбка
🙃;вверх тормашками;вверх|ногами|перевернутый|смайлик|тормашками|улыбка
🫠;тает;грустная|жара|жарко|лол|нежность|печальная|плавится|растаять|таю|улыбка
😉;подмигивает;глаз|договорились|ироничная|легкая|окей|подмигивает|улыбка|флирт|хорошо|шутка
😊;довольно улыбается;глаза|довольный|закрытые|краснеть|легкая|радость|румянец|улыбка|щеки
😇;с нимбом;ангел|глаза|добрый|закрытые|легкая|невинная|нимб|улыбка
🥰;улыбающееся лицо с сердечками;люблю|любовь|нежность|обожаю|радость|романтика|румянец|сердечки|улыбка|чувства
😍;влюбленное лицо;без ума|вау|влюбленность|восторг|глаза|люблю|обожаю|сердечки|чувства
🤩;звезды в глазах;вау|глаза|звезда|звездный|звезды|обалдеть|радость|супер|улыбка|широкая
😘;воздушный поцелуй;воздушный|губы|комплимент|любовь|подмигивание|поцелуй|сердечко|скучаю|флирт|чмок
😗;целует;люблю|любовь|нежность|поцелуй|романтика|скучаю|флирт|чмок
☺️;улыбается;довольный|окей|радость|румянец|смайлик|счастье|улыбается|улыбка|хорошо
😚;целует с закрытыми глазами;глаза|закрытые|поцелуй|румянец|флирт|целовать|чмок
