# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;πλατύ χαμόγελο;πλατύ χαμόγελο|πρόσωπο|σαρκασμός
😃;πλατύ χαμόγελο με μεγάλα μάτια;ανοιχτό|πλατύ χαμόγελο με μεγάλα μάτια|πρόσωπο|στόμα|χαμόγελο
😄;πλατύ χαμόγελο με γελαστά μάτια;ανοιχτό|μάτι|πλατύ χαμόγελο με γελαστά μάτια|πρόσωπο|στόμα|χαμόγελο
😁;περιχαρές πρόσωπο με γελαστά μάτια;μάτι|περιχαρές πρόσωπο με γελαστά μάτια|πρόσωπο|σαρκασμός|χαμόγελο
😆;πλατύ χαμόγελο με κλειστά μάτια;ανοιχτό|γέλιο|ικανοποίηση|πλατύ χαμόγελο με κλειστά μάτια|πρόσωπο|στόμα|χαμόγελο
😅;πλατύ χαμόγελο και κρύος ιδρώτας;ανοιχτό|ιδρώτας|κρύος|πλατύ χαμόγελο και κρύος ιδρώτας|πρόσωπο|χαμόγελο
🤣;ξεκαρδίζομαι;γέλιο|δυνατό γέλιο|ξεκαρδίζομαι|ξεκάρδισμα|πρόσωπο
😂;κλαίω από χαρά;γέλιο|δάκρυ|κλαίω από χαρά|πρόσωπο|χαρά
🙂;ελαφρώς χαμογελαστό πρόσωπο;ελαφρώς χαμογελαστό πρόσωπο|πρόσωπο|χαμόγελο
🙃;αναποδογυρισμένο πρόσωπο;ανάποδο|αναποδογυρισμένο πρόσωπο|πρόσωπο
🫠;πρόσωπο που λιώνει;εξαφανίζομαι|εξαφάνιση|λιώνω|λιώσιμο|πρόσωπο που λιώνει|υγρό
😉;κλείσιμο ματιού;κλείνω το μάτι|κλείσιμο ματιού|πρόσωπο
😊;χαμογελαστό πρόσωπο με γελαστά μάτια;κοκκινίζω|μάτι|πρόσωπο|χαμογελαστό πρόσωπο με γελαστά μάτια|χαμόγελο
😇;χαμογελαστό πρόσωπο με φωτοστέφανο;άγγελος|αθώος|παραμύθι|πρόσωπο|φαντασία|φωτοστέφανο|χαμογελαστό πρόσωπο με φωτοστέφανο|χαμόγελο
🥰;χαμογελαστό προσωπάκι με καρδούλες;ερωτευμένος|καψούρα|λατρεύω|χαμογελαστό προσωπάκι με καρδούλες
😍;χαμογελαστό πρόσωπο με μάτια καρδούλες;αγάπη|καρδιά|μάτι|πρόσωπο|χαμογελαστό πρόσωπο με μάτια καρδούλες|χαμόγελο
🤩;βλέπω αστεράκια;αστέρι|βλέπω αστεράκια|γκριμάτσα|μάτια|πρόσωπο
😘;στέλνω φιλί;καρδιά|πρόσωπο|στέλνω φιλί|φιλί
😗;φιλώ;πρόσωπο|φιλί|φιλώ
☺️;χαμογελαστό πρόσωπο;πρόσωπο|σκιαγράφημα|χαλαρό|χαμογελαστό πρόσωπο|χαμόγελο
😚;φιλώ με κλειστά μάτια;κλειστό|μάτι|πρόσωπο|φιλί|φιλώ με κλειστά μάτια
😙;φιλώ με γελαστά μάτια;μάτι|πρόσωπο|φιλί|φιλώ με γελαστά μάτια|χαμόγελο
🥲;χαμογελαστό πρόσωπο με δάκρυ;ανακούφιση|δάκρυ|ευγνώμων|συγκινημένος|υπερήφανος|χαμογελαστό πρόσωπο με δάκρυ|χαμόγελο
😋;απολαμβάνω πεντανόστιμο φαγητό;απολαμβάνω πεντανόστιμο φαγητό|απόλαυση|γιαμ|μιαμ|νόστιμο|πρόσωπο|χαμόγελο
😛;γλώσσα έξω;γλώσσα|γλώσσα έξω|πρόσωπο
😜;γλώσσα έξω με κλειστό μάτι;αστειεύομαι|γλώσσα|γλώσσα έξω με κλειστό μάτι|κλείνω το μάτι|μάτι|πρόσωπο
🤪;τρελή φάτσα;μάτι|μεγάλο|μικρό|τρελή φάτσα
😝;γλώσσα έξω με κλειστά μάτια;απαίσιος|γεύση|γλώσσα|γλώσσα έξω με κλειστά μάτια|μάτι|πρόσωπο
🤑;γλώσσα με λεφτά;γλώσσα με λεφτά|πρόσωπο|στόμα|χρήματα
🤗;αγκαλιά;αγκαλιά|αγκαλιάζω|πρόσωπο
🤭;πρόσωπο με χέρι στο στόμα;πρόσωπο με χέρι στο στόμα|ωχ
🫢;πρόσωπο με ανοιχτά μάτια και το χέρι πάνω στο στόμα;δέος|δυσπιστία|έκπληξη|ντροπή|ντροπιάζω|πρόσωπο με ανοιχτά μάτια και το χέρι πάνω στο στόμα|φοβισμένη|φοβισμένο|φοβισμένος
🫣;κρυφοκοίταγμα;καθήλωση|κρυφοκοίταγμα|προσήλωση
🤫;πρόσωπο που κάνει σσσς;ησυχία|πρόσωπο που κάνει σσσς
🤔;σκέφτομαι;πρόσωπο|σκεπτόμενος|σκέφτομαι
🫡;πρόσωπο που χαιρετά στρατιωτικά;αντηλιά|ναι|οκ|πρόσωπο που χαιρετά στρατιωτικά|στρατιώτης|χαιρετισμός
🤐;ερμητικά κλειστό στόμα;ερμητικά κλειστό στόμα|πρόσωπο|στόμα|φερμουάρ
🤨;πρόσωπο με σηκωμένο φρύδι;δύσπιστος|πρόσωπο με σηκωμένο φρύδι|σκεπτικός
😐;ουδέτερο πρόσωπο;ανέκφραστο|ουδέτερο|πρόσωπο
😑;ανέκφραστο πρόσωπο;ανέκφραστο|πρόσωπο|χωρίς έκφραση
😶;πρόσωπο χωρίς στόμα;ήσυχος|πρόσωπο|πρόσωπο χωρίς στόμα|σιωπηλός|στόμα
🫥;πρόσωπο σε διάστικτο κύκλο;αόρατος|απόκρυψη|εσωστρεφής|κατάθλιψη|πρόσωπο σε διάστικτο κύκλο|στενοχώρια
😶‍🌫️;πρόσωπο στα σύννεφα;αφηρημένος|κεφάλι στα σύννεφα|πρόσωπο στα σύννεφα|πρόσωπο στην ομίχλη
😏;μειδίαμα;μειδίαμα|πρόσωπο
😒;δυσαρέσκεια;δυσαρέσκεια|δυσαρεστημένος|πρόσωπο
🙄;βλέμμα αποδοκιμασίας;αναποδογυριστά|βλέμμα αποδοκιμασίας|μάτια|πρόσωπο
😬;γκριμάτσα;γκριμάτσα|πρόσωπο
😮‍💨;πρόσωπο που ξεφυσάει;ανακούφιση|αναστενάζω|εκπνέω|ξεφυσάω|πρόσωπο που ξεφυσάει|σφυρίζω|ψιθυρίζω
🤥;φάτσα ψεύτη;πινόκιο|πρόσωπο|φάτσα ψεύτη|ψέμα
🫨;πρόσωπο που κουνιέται;δονείται|πρόσωπο|πρόσωπο που κουνιέται|σεισμός|σοκ|τρέμει
🙂‍↔️;κεφάλι που κουνιέται οριζόντια;κεφάλι που κουνιέται οριζόντια|κούνημα|όχι
🙂‍↕️;κεφάλι που κουνιέται κατακόρυφα;καταφατικά|κεφάλι που κουνιέται κατακόρυφα|ναι|νεύμα
😌;ανακούφιση;ανακούφιση|ανακουφισμένος|πρόσωπο
😔;περισυλλογή;αποκαρδιωμένος|περισυλλογή|πρόσωπο|στοχαστικός
😪;νυσταγμένο πρόσωπο;νυσταγμένο πρόσωπο|πρόσωπο|ύπνος
🤤;σαλιαρίζω;πρόσωπο|σάλια|σαλιαρίζω
😴;ύπνος;zzz|πρόσωπο|ύπνος
😷;ιατρική μάσκα;άρρωστος|γιατρός|ιατρική μάσκα|κρύωμα|μάσκα|πρόσωπο|φάρμακο
🤒;πρόσωπο με θερμόμετρο;άρρωστος|ασθενής|θερμόμετρο|πρόσωπο|πρόσωπο με θερμόμετρο
🤕;επίδεσμος στο κεφάλι;επίδεσμος|επίδεσμος στο κεφάλι|πρόσωπο|τραύμα|χτυπημένος
🤢;ανακατεύομαι;ανακατεύομαι|εμετός|ναυτία|πρόσωπο
🤮;πρόσωπο που κάνει εμετό;εμετός|πρόσωπο που κάνει εμετό
🤧;φταρνίζομαι;πρόσωπο|υγεία|φταρνίζομαι|φτάρνισμα
🥵;ζεστό προσωπάκι;ζεστό προσωπάκι|θερμοπληξία|πυρετός
🥶;κρυώνω;κρύο|κρυοπάγημα|κρυώνω|παγώνω
🥴;ζαλισμένο προσωπάκι;ζαλισμένο προσωπάκι|ζαλισμένος|μεθυσμένος|πιωμένος|ψιλομεθυσμένος
😵;ζαλάδα;ζαλάδα|ζαλισμένος|πρόσωπο
😵‍💫;πρόσωπο με μάτια σπιράλ;ζαλάδα|πρόβλημα|πρόσωπο με μάτια σπιράλ|πω|σπιράλ|υπνωτισμένο άτομο
🤯;κεφάλι που εκρήγνυται;κεφάλι που εκρήγνυται|σοκαρισμένος
🤠;καουμπόης με καπέλο;καουμπόης|καουμπόης με καπέλο|καουμπόισσα|καπέλο|πρόσωπο
🥳;προσωπάκι πάρτι;γιορτή|καπέλο|κόρνα|πάρτι|προσωπάκι πάρτι
🥸;μεταμφιεσμένο πρόσωπο;γυαλιά|ινκόγκνιτο|μεταμφίεση|μεταμφιεσμένο πρόσωπο|μύτη|πρόσωπο
😎;χαμογελαστό πρόσωπο με γυαλιά ηλίου;γυαλιά|γυαλιά ηλίου|ήλιος|καιρός|μάτι|οπτικά|πρόσωπο|στυλάτος|φωτεινός|χαμογελαστό πρόσωπο με γυαλιά ηλίου|χαμόγελο
🤓;σπασίκλας;πρόσωπο|σπασίκλας|φυτό
🧐;πρόσωπο με μονόκλ;ξενέρωτος|πρόσωπο με μονόκλ
😕;σύγχυση;πρόσωπο|στοχαστικός|σύγχυση
🫤;πρόσωπο με διαγώνιο στόμα;αβεβαιότητα|απογοήτευση|πρόσωπο με διαγώνιο στόμα|σκεπτικισμός
😟;ανησυχία;ανησυχία|ανήσυχος|πρόσωπο
🙁;ελαφρύ κατσούφιασμα;ελαφρύ κατσούφιασμα|κατσουφιασμένος|πρόσωπο
☹️;κατσούφιασμα;κατσούφιασμα|κατσουφιασμένος|πρόσωπο
😮;ανοικτό στόμα;ανοικτό στόμα|ανοιχτό|πρόσωπο|στόμα|συμπόνια
😯;έκπληκτο βλέμμα;άφωνος|έκπληκτο βλέμμα|έκπληκτος|πρόσωπο|συγκλονισμένος
😲;ξάφνιασμα;έκπληκτος|εντελώς|ξάφνιασμα|ξαφνιασμένος|πρόσωπο
😳;κοκκινισμένο πρόσωπο;κοκκινισμένο πρόσωπο|κοκκινισμένος|πρόσωπο|σαστισμένος
🥺;προσωπάκι παρακαλετό;βλέμμα κουταβιού|έλεος|ζητιανιά|προσωπάκι παρακαλετό
🥹;πρόσωπο έτοιμο να κλάψει;αντίσταση|θλίψη|θυμός|κλάμα|πρόσωπο έτοιμο να κλάψει|υπερηφάνεια
😦;κατσούφιασμα με ανοικτό στόμα;ανοιχτό|κατσούφιασμα|κατσούφιασμα με ανοικτό στόμα|πρόσωπο|στόμα
😧;αγωνία;αγωνία|αγωνιώδης|πρόσωπο
😨;φόβος;πρόσωπο|τρομαγμένος|φοβισμένος|φόβος
😰;ανοικτό στόμα και κρύος ιδρώτας;ανοικτό στόμα και κρύος ιδρώτας|ανοιχτό|ιδρώτας|κρύος|μπλε|ξαφνικός|πρόσωπο|στόμα
😥;λυπημένο αλλά ανακουφισμένο πρόσωπο;ανακουφισμένος|απογοητευμένος|λυπημένο αλλά ανακουφισμένο πρόσωπο|ουφ|πρόσωπο
😢;κλάμα;δάκρυ|κλάμα|πρόσωπο|στεναχωρημένος
😭;γοερό κλάμα;γοερό κλάμα|δάκρυ|κλάμα|λυγμός|πρόσωπο|στεναχωρημένος
😱;ουρλιαχτό φόβου;ανοιχτό στόμα|ουρλιαχτό|ουρλιαχτό φόβου|πρόσωπο|τρομαγμένος|φοβισμένος|φόβος
😖;σάστισμα;πρόσωπο|σάστισμα|σαστισμένος
😣;βλέμμα απόγνωσης;βλέμμα απόγνωσης|επιμένω|πρόσωπο
😞;απογοήτευση;απογοητευμένος|απογοήτευση|πρόσωπο
😓;κρύος ιδρώτας;ιδρώτας|κρύος|πρόσωπο
😩;εξάντληση;εξαντλημένος|εξάντληση|κουρασμένος|πρόσωπο
😫;κουρασμένο πρόσωπο;κουρασμένο πρόσωπο|κουρασμένος|πρόσωπο
🥱;πρόσωπο που χασμουριέται;βαριέμαι|κουρασμένος|πρόσωπο που χασμουριέται|χασμουριέμαι
😤;καπνοί από τη μύτη;θρίαμβος|καπνοί από τη μύτη|καπνοί από τη μύτη|νικητής|πρόσωπο
😡;οργή;θυμωμένος|κόκκινος|μορφασμός|οργή|οργισμένος|πρόσωπο
😠;θυμός;θυμός|θυμωμένος|οργισμένος|πρόσωπο
🤬;πρόσωπο με σύμβολα στο στόμα;βρίσιμο|πρόσωπο με σύμβολα στο στόμα
😈;χαμόγελο με κέρατα;κέρατα|παραμύθι|πρόσωπο|φαντασία|χαμόγελο|χαμόγελο με κέρατα
👿;δαίμονας;δαίμονας|διάβολος|παραμύθι|πρόσωπο|φαντασία
💀;κρανίο;θάνατος|κρανίο|παραμύθι|πρόσωπο|σώμα|τέρας
☠️;κρανίο με κόκκαλα;θάνατος|κρανίο με κόκκαλα|νεκροκεφαλή|οστά χιαστί|πρόσωπο|σώμα|τέρας
💩;περιττώματα;κακά|κόμικ|κόπρανα|κοπριά|περιττώματα|πρόσωπο|τέρας
🤡;αστεία φάτσα;αστεία φάτσα|κλόουν|πρόσωπο
👹;τέρας;ιαπωνικό|παραμύθι|πλάσμα|πρόσωπο|τέρας|φαντασία
👺;καλικάντζαρος;ιαπωνικό|καλικάντζαρος|παραμύθι|πλάσμα|πρόσωπο|τέρας|φαντασία
👻;φάντασμα;παραμύθι|πλάσμα|πρόσωπο|τέρας|φαντασία|φάντασμα
👽;εξωγήινος;διάστημα|εξωγήινος|ούφο|παραμύθι|πλάσμα|πρόσωπο|τέρας|φαντασία
👾;εξωγήινο τέρας;διάστημα|εξωγήινο τέρας|εξωγήινος|ούφο|παραμύθι|πλάσμα|πρόσωπο|τέρας|φαντασία
🤖;ρομπότ;πρόσωπο|ρομπότ|τέρας
