[smileys_emotion]
😀;gülən üz;gülən üz|gülmək|üz
😃;açıq ağızla gülən üz;açıq|açıq ağızla gülən üz|ağız|təbəssüm|üz
😄;açıq ağız və gülən gözlərlə gülən üz;açıq|açıq ağız və gülən gözlərlə gülən üz|ağız|göz|təbəssüm|üz
😁;gülən gözlərlə gülən üz;göz|gülən gözlərlə gülən üz|gülmək|təbəssüm|üz
😆;açıq ağız və bərk yumulmuş gözlərlə gülən üz;açıq|açıq ağız və bərk yumulmuş gözlərlə gülən üz|ağız|gülüş|məmnun|təbəssüm|üz
😅;açıq ağız və soyuq tərlə gülən üz;açıq|açıq ağız və soyuq tərlə gülən üz|soyuq|təbəssüm|tər|üz
🤣;gülməkdən nəfəsi kəsilmək;diyirlənən|gülməkdən nəfəsi kəsilmək|gülüş|üz|yer
😂;sevinc göz yaşları olan üz;göz yaşı|gülüş|sevinc|sevinc göz yaşları olan üz|üz
🙂;yüngülcə gülümsəyən üz;təbəssüm|üz|yüngülcə gülümsəyən üz
🙃;başı-aşağı üz;baş-aşağı|başı-aşağı üz|üz
🫠;əriyən üz;əridir|əriyən üz|həll|maye|yox olmaq
😉;göz vuran üz;göz vuran üz|göz vurmaq|üz
😊;gülən gözlərlə gülümsəyən üz;göz|gülən gözlərlə gülümsəyən üz|təbəssüm|utanma|üz
😇;başında halə gülmsəyən üz;başında halə gülmsəyən üz|fantastika|halə|mələk|məsum
🥰;3 ürəkli təbəssümlü üz;3 ürəkli təbəssümlü üz|aşiqlik|sevgi|vurulmaq
😍;ürək formalı gözləri olan gülən üz;göz|sevgi|təbəssüm|ürək|ürək formalı gözləri olan gülən üz|üz
🤩;ulduza heyranlıq;gözlər|gülən|ulduz|ulduza heyranlıq|üz
😘;öpüş göndərən üz;öpüş|öpüş göndərən üz|ürək|üz
😗;öpən üz;öpən üz|öpüş|üz
☺️;gülümsəyən üz;gülümsəyən üz|rahat|sakit|təbəssüm|üz
😚;bağlı gözlərlə öpən üz;bağlı|bağlı gözlərlə öpən üz|göz|öpüş|üz
😙;gülən gözlərlə öpən üz;göz|gülən gözlərlə öpən üz|öpüş|təbəssüm|üz
🥲;göz yaşları ilə gülümsəyən üz;göz yaşı|göz yaşları ilə gülümsəyən üz|gülümsəyir|həyəcanlı|lovğa|məmnun|yüngül
😋;dadlı yeməkdən həzz alan üz;dadlı|dadlı yeməkdən həzz alan üz|həzz almaq|təbəssüm|um|üz|yum
😛;dilini çıxarmış üz;dil|dilini çıxarmış üz|üz
😜;dilini çıxarmış və göz vuran üz;dil|dilini çıxarmış və göz vuran üz|göz|göz vurmaq|üz|zarafat
🤪;dəcəl üz;böyük|dəcəl üz|göz|kiçik
😝;dilini çıxarmış və gözlərini möhkəm bağlamış üz;dad|dil|dilini çıxarmış və gözlərini möhkəm bağlamış üz|göz|qorxulu|üz
🤑;ağzı pul olan üz;ağız|ağzı pul olan üz|pul|üz
🤗;qucaqlayan üz;qucaqlama|qucaqlaşmaq|qucaqlayan üz|üz
🤭;ağzını əli ilə örtmüş üz;ağzını əli ilə örtmüş üz|vay
