# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ပြုံးဖြဲဖြဲ မျက်နှာ;ပြုံးဖြဲဖြဲ|မျက်နှာ
😃;မျက်လုံးပြူးဖြင့် ပြုံးဖြဲဖြဲ မျက်နှာ;ပြုံး|ပါးစပ်|မျက်နှာ|မျက်လုံးပြူးဖြင့် ပြုံးဖြဲဖြဲ မျက်နှာ|ဟ
😄;အပြုံးမျက်လုံးများဖြင့် ပြုံးဖြဲဖြဲ မျက်နှာ;ပါးစပ်|မျက်နှာ|မျက်လုံး|ဟနေသည်|အပြုံး|အပြုံးမျက်လုံးများဖြင့် ပြုံးဖြဲဖြဲ မျက်နှာ
😁;အပြုံးမျက်လုံးများဖြင့် ပီတိဖြာနေသော မျက်နှာ;ပြုံး|ပြုံးဖြဲဖြဲ|မျက်နှာ|မျက်လုံးများ|အပြုံးမျက်လုံးများဖြင့် ပီတိဖြာနေသော မျက်နှာ
😆;မျက်စိကို ကြိတ်မှိတ်ထားသည့် ပြုံးဖြဲဖြဲ မျက်နှာ;ကျေနပ်ခြင်း|ကြိတ်မှိတ်ပြီး ပြုံးဖြဲဖြဲလုပ်နေသည့် မျက်နှာ|ပါးစပ်|မျက်စိ|မျက်စိကို ကြိတ်မှိတ်ထားသည့် ပြုံးဖြဲဖြဲ မျက်နှာ|မျက်နှာ|မျက်လုံး|ရယ်မောခြင်း|အပြုံး
😅;ဇောချွေးပြန်နေသည့် ပြုံးဖြဲဖြဲ မျက်နှာ;ဇောချွေး|ဇောချွေးပြန်နေသည့် ပြုံးဖြဲဖြဲ မျက်နှာ|မျက်နှာ|ဟနေသည်|အပြုံး|အေး
🤣;ကြမ်းပေါ်လှိမ့်ပြီး ရယ်နေသည်;ကြမ်းပြင်|ကြမ်းပေါ်လှိမ့်ပြီး ရယ်နေသည်|မျက်နှာ|ရယ်မောခြင်း|လှိမ့်ခြင်း
😂;ပျော်ရွှင်မှု မျက်ရည်များဖြင့် မျက်နှာ;ပျော်ရွှင်မှု|ပျော်ရွှင်မှု မျက်ရည်များဖြင့် မျက်နှာ|မျက်နှာ|မျက်ရည်|ရယ်ရွှင်မှု
🙂;မသိမသာ ပြုံးနေသည့် မျက်နှာ;ပြုံးနေသည်|မျက်နှာ|မသိမသာ ပြုံးနေသည့် မျက်နှာ
🙃;ဇောက်ထိုး မျက်နှာ;ဇောက်ထိုး|မျက်နှာ
🫠;အရည်ပျော်ကျနေသည့် မျက်နှာ;ပျောက်ကွယ်|ပျော်ကျ|ပျော်ဝင်|အရည်|အရည်ပျော်ကျနေသည့် မျက်နှာ
😉;မျက်စိမှိတ်ပြနေသည့် မျက်နှာ;မျက်စိမှိတ်ပြခြင်း|မျက်စိမှိတ်ပြနေသည့် မျက်နှာ|မျက်နှာ
😊;မျက်လုံးများ ပြုံးနေသည့် အပြုံးမျက်နှာ;ပြုံးနေသည်|ပြုံးနေသည့်မျက်လုံးများဖြင့် အပြုံးမျက်နှာ|မျက်စိ|မျက်နှာ|မျက်လုံး|မျက်လုံးများ ပြုံးနေသည့် အပြုံးမျက်နှာ|ရှက်သွေးဖြန်းခြင်း
😇;ရောင်လျှံစက်ဝန်းနှင့် မျက်နှာ;စိတ်ကူးယဉ်|နတ်မိမယ်|မျက်နှာ|ရောင်လျှံစက်ဝန်း|ရောင်လျှံစက်ဝန်းနှင့် မျက်နှာ
