# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خنده;خنده|صورت|صورت با لبخند|لبخند|نیش باز
😃;صورت خندان;باز|خنده|دهان|صورت|صورت خندان|لبخند
😄;خندان;باز|چشم|خندان|خنده|دهان|صورت|صورتک با پوزخند و چشمان خندان|لب و چشم خندان|لبخند
😁;خندهٔ دندانی;تبسم|چشم|خنده|خندهٔ دندانی|خنده دندونی|صورت|صورت شاد با چشمان خندان|لبخند|نیشخند
😆;صورت نیشخندزنان با چشم نیم‌باز;باز|بسته|چشم|چشم نیم‌بسته|خنده|دهان|شاد|صورت|لبخند|لبخندزنان|نیشخند|هاها|هرهر
😅;صورت خندان و عرق‌کرده;باز|خنده|خنده و عرق خوشحالی|دهان|شادی|صورت|صورت خندان و عرق‌کرده|عرق|لبخند
🤣;از خنده غش کردن;از خنده غش کردن|خنده|خنده‌دار|خندیدن|خوشحال|شاد|صورتک|قاه قاه|قهقهه|هاها|هرهر
😂;صورت با اشک شادی;احساس|اشک شادی|بامزه|خنده|خنده بلند|خوشحالی|روده‌بر|صورتک|قهقهه|کرکر خنده|لذت|هاها|هرهر
🙂;لبخند ملایم;صورت|لبخند|لبخند ملایم
🙃;صورت وارونه;صورت|لبخند|معکوس|وارونه
🫠;چهره درحال ذوب شدن;آب شدن|احساسات|حل شدن|داغ|ذوب شدن|شرمنده|شکلک|کنایه|کنایه‌آمیز|گرما|مایع|ناپدید شدن|هاها
😉;چشمک;چشمک|سکسی|شوخی|صورت|عشوه|لاس
😊;لبخند خجالتی;چشم|خجالت|سرخ شدن|صورت|لبخند|لبخند خجالتی
😇;هاله‌دار;صورت|فانتزی|فرشته|لبخند|معصوم|مقدس|ملیح|هاله|هاله‌دار
🥰;صورت خندان و عاشق;۳|دوستت دارم|ستایش|شما|شیفتگی|صورتک|عاشقی|عشق|قلب|قلب‌ها|لبخند|لبخندزنان
😍;چشم‌های عاشق;چشم|چشم‌های عاشق|صورت|عاشق|عشق|قلب|لبخند
🤩;فوق‌العاده;جذاب|چشمان|خندان|خنده|ستاره|صورت|فوق‌العاده|لبخند|هیجان زده|هیجان‌انگیز
😘;بوسه فرستادن;بوسه|بوسه فرستادن|بوسیدن|صورت|قلب
😗;بوسیدن;بوسه|بوسیدن|صورت
☺️;لبخند;آرام|بسته|چشم|صورت|لبخند
😚;بوسهٔ خجالتی;بسته|بوسه|بوسه خجالتی|بوسهٔ خجالتی|بوسیدن|چشم|صورت
😙;بوسیدن با چشمان خندان;بوسه|بوسیدن|بوسیدن با چشمان خندان|چشم|صورت|لبخند|لبخند و بوسه
🥲;چهرهٔ خندان با اشک;آسوده‌خاطر|اشک|اشک شوق|چهرهٔ خندان با اشک|خرسند|خندان|درد|سربلند|شاد|قدردان|لبخند|مسرور|مفتخر
😋;صورت درحال لیسیدن لب;به‌به|خوشمزه|صورت|صورت با زبان آب افتاده|صورت درحال لیسیدن لب|لبخند|لذیذ
😛;صورت با زبان بیرون‌آمده;زبان|زبان بیرون آمده|زبانک|زبونک|صورت|صورت با زبان بیرون‌آمده
😜;صورت با چشمک و زبان بیرون آمده;جوک|چشم|چشمک زدن|زبان|زبانک انداختن و چشمک زدن|زبونک و چشمک|شوخی|صورت|صورت با چشمک و زبان بیرون آمده|صورتک
🤪;صورتک لوده;احمق|بزرگ|بی‌عقل|چشم|چشم ها|چشم های دیوانه|دیوانه|صورت دیوانه|صورتک لوده|کوچک
😝;زبونک با چشم بسته;آدم|بد|بدمزه|چشم|چشم بسته|زبان|زبونک با چشم بسته|زشت|صورت|فجیع
🤑;صورت پول‌دوست;پول|دهان|صورت|صورت پول‌دوست
🤗;بغل کردن;آغوش|بغل کردن|در آغوش گرفتن|صورت|لبخند
🤭;صورتک با دست روی دهان;آخ|اوه|ای وای|دست روی دهان|راز|سورپرایز|شوک|صورت با دست جلوی دهان|صورتک با دست روی دهان|وا
🫢;چهره با چشمان باز و دست روی دهان;آه خدای من|احساسات|ترس|حیرت|خجالت|سکوت|شکلک|شگفتی|شوکه شدن|غافلگیری|مبهوت|ناباوری
🫣;چهره با نگاه دزدکی;احساسات|پنهان شدن|پنهان کردن|ترسیده|چهره با نگاه دزدکی|خجالت کشیدن|خجالتی|خیره شدن|دید زدن|زیرچشمی|شرمندگی|شرمنده|شکلک|شیفته|عواطف|نگاه دزدکی
🤫;هیس;بی‌صدا|ساکت|سکوت|صورت|هیس|هیس، ساکت، سکوت
🤔;درحال تفکر;تفکر|درحال تفکر|صورت|فکر کردن|متفکر
🫡;چهره سلام‌کنان;آفتابی|احترام|احساسات|افراد|اوکی|بله|بله خانم|بله قربان|چهره سلام‌کنان|سلام|سلام نظامی|شکلک|موفق باشید
🤐;دهان چفت;دهان|دهان چفت|زیپ|صورت|قابل اعتماد|قفل
🤨;صورت با ابروی بالاداده;سوءظن|شک|شکاک|صورت با ابروی بالا|صورت با ابروی بالاداده|عدم اعتماد|عدم تایید
😐;خنثی;بی‌احساس|بی‌روح|بی‌طرف|بی‌مزه|جدی|خنثی|صورت
😑;صورت بی‌حالت;بدون احساس|بدون حالت|بی‌بیان|بی‌حالت|صورت|گنگ
😶;صورت بدون لب;آرام|بی‌صدا|دهان|ساکت|صورت|صورت بدون لب
🫥;چهره با خط‌چین;احساسات|افسرده|برایم مهم نیست|برون‌گرا|پنهان|چهره با خط‌چین|حالا که چی|حالا هر چی|شکلک|ناپدید|نامرئی
😶‍🌫️;صورتک میان ابر;حواس‌پرت|سر در میان ابرها|صورتک در مه|صورتک میان ابر|صورتک میان ابرها
😏;پوزخند;پوزخند|تمسخر|صورت
😒;کسل;بی‌حوصله|صورت|کسل|کسل‌کننده
🙄;نگاه کلافه;اوه|چشم|چشم چرخوندن|چشم‌ها|سایه|صورت|قیافه|کلافه|نگاه عاقل اندر سفیه|نگاه کلافه|هرچی
😬;دهن‌کجی;ادا و اصول|دهن‌کجی|شکلک|صورت|منزجر
😮‍💨;صورتک در حال بازدم;آه|بازدم|بخار|خسته|سوت زدن|صورتک در حال بازدم|فوت کردن|نالیدن|نجوا کردن|نفس زدن
🤥;صورت دروغگو;پینوکیو|دروغ|دروغگو|دماغ دراز|دماغ‌دراز|صورت
🫨;چهره لرزان;ارتعاش|تعجب|چهره لرزان|دیوانه|زلزله|شگفت‌زده|شگفتی|شوک|صورت|گیج|لرزان|لرزش|متعجب|مرتعش|وای|وحشت
🙂‍↔️;تکان دادن افقی سر;تکان دادن افقی سر|نه، تکان سر
🙂‍↕️;تکان دادن عمودی سر;تکان دادن عمودی سر|تکان سر، بله
😌;آسوده‌خاطر;آسوده خاطر|آسوده‌خاطر|خیال راحت|صورت
😔;چهره غمگین;افسرده|اندیشناک|پژمرده|چهره غمگین|صورت|غمگین|محزون|ناامید|ناراحت
😪;خواب‌آلود;خواب|خواب‌آلود|صورت
🤤;آب افتادن دهان;آب افتاد|آب افتادن|آب افتادن دهان|دهان|دهن
😴;خوابیده;تخت خواب|چرت|چهره|خروپف|خسته|خواب|خواب‌آلود|خوابیدن|خوابیده|شب|شب بخیر|شب خوش|صورت|صورتک|قیافه خواب‌آلود|هرچی|وقت خواب
🫩;چهره با چشمان پف‌آلود;بی‌رمق|چهره با چشمان پف‌کرده|خسته|خواب‌آلود
😷;صورت با ماسک پزشکی;بیمار|تب|دارو|دکتر|سرد|سرما|سرماخورده|صورت|صورت با ماسک پزشکی|ماسک|مریض
🤒;تب‌دار;آدم|بیمار|تب|تب‌دار|دماسنج|صورت|مریض
🤕;سر باندپیچی‌شده;آسیب|با سر باندپیچی|باندپیچی|حادثه|درد|سر|سر باندپیچی‌شده|صدمه|صورت
🤢;حالت تهوع;استفراغ|بالا آوردن|بهم خوردن حال|تهوع|حال بد|حال به‌هم خوردن|حالت تهوع|صورت سبز
🤮;درحال استفراغ;استفراغ|بالا آوردن|تهوع، بیماری|دچار تهوع|درحال استفراغ|مریض|ناخوش
🤧;عطسه;خیر باشد|درحال عطسه|دماغ قزمز|صورت|صورت در حال عطسه|عافیت باشد|عطسه
🥵;خیلی گرم;برافروخته|تب|تب و لرز|تب‌دار|حرارت|خیلی گرم|دارم میمیرم|داغ|زبان|سوزان|صورت|عرق|عرق‌کرده|قرمز|قرمزشده|کله|گرم|گرما|گرمازده|لرز
🥶;خیلی سرد;آبی|خیلی سرد|دندان|دندون لرز|زیر صفر|سرد|سرما|سرمازدگی|سرمازده|شکلک|صورت|صورتک|قندیل|کبودشده|لرز|لرزیدن|یخ|یخ‌زده
🥴;نشئه;از خود بیخود|چشمان بالا و پایین|چشمهای تا به تا|حیران|خل|خل و چل|خنگ|دهان لرزان|سرخوش|سرگشته|شنگول|گیج|لوچ|مبهوت|مست|مست و ملنگ|ملنگ|منگ|نشئه|هپروت
😵;گیج;صورت|گیج
😵‍💫;صورتک با چشمان چرخشی;آی خدای من|سرگیجه|شکلک|صورتک با چشمان چرخشی|گیج|مارپیچ|مشکل|هیپنوتیزم|وای|وه
🤯;سر منفجرشده;دود از سر بلند شدن|سر منفجرشده|شوکه|شوکه‌شده|غیر ممکن|متعجب
🤠;کلاه کابوی;صورت|صورت کلاه به سر|صورت کلاه‌به‌سر|کابوی|کلاه|گاوچران
🥳;جشن و سور;بوغ|بوق|بوق و سرنا|پارتی|تولد|تولد مبارک|تولدت مبارک|جشن|جشن و سور|سرنا|سور|شکلک|صورت|صورتک|کلاه|کله|مهمانی|هورا|هیجان
