# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;škeriaca sa tvár;škeriaca sa tvár|tvár|úškľabok|úškrn
😃;škeriaca sa tvár s veľkými očami;otvorené|škeriaca sa tvár s veľkými očami|tvár|úsmev|ústa
😄;škeriaca sa tvár s prižmúrenými očami;oko|prižmúrené|škeriaca sa tvár s prižmúrenými očami|tvár|úsmev|ústa
😁;natešená tvár s prižmúrenými očami;natešená tvár s prižmúrenými očami|oko|tvár|úškľabok|úškrn|úsmev
😆;škeriaca sa tvár s privretými očami;otvorené|škeriaca sa tvár s privretými očami|smiech|spokojné|tvár|úsmev|ústa
😅;škeriaca sa tvár s potom;horúco|otvorené|pot|škeriaca sa tvár s potom|tvár|úsmev
🤣;váľam sa od smiechu;smiech|tvár|váľam|váľam sa od smiechu
😂;plačem od smiechu;plač|plačem od smiechu|radosť|slza|smiech|tvár
🙂;usmievajúca sa tvár;tvár|úsmev|usmievajúca sa tvár
🙃;prevrátená tvár;otočená|prevrátená|tvár
🫠;roztopená tvár;rozpustiť|roztiecť|roztopená tvár|roztopiť|zmiznúť
😉;žmurkajúca tvár;tvár|žmurkajúca tvár|žmurkanie|žmurknutie
😊;smejúca sa tvár s prižmúrenými očami;oko|smejúca sa tvár s prižmúrenými očami|tvár|úsmev|zapýrenie
😇;smejúca sa tvár so svätožiarou;anjel|nevinná|smejúca sa tvár so svätožiarou|svätá|svätožiara|tvár|úsmev
🥰;smejúca sa tvár s tromi srdiečkami;smejúca sa tvár s tromi srdiečkami|zaľúbená|zaľúbený|zamilovaná|zamilovaný|zbožňujem
😍;smejúca sa tvár so srdiečkami;láska|oko|smejúca sa tvár so srdiečkami|srdce|tvár|úsmev
🤩;pobláznená tvár;oči|pobláznená tvár|pobláznenie|tvár|úškľabok|úškrn
😘;tvár posielajúca bozk;bozk|srdce|tvár|tvár posielajúca bozk
😗;bozkávajúca tvár;bozk|bozkávajúca tvár|tvár
☺️;smejúca sa tvár;pohoda|smejúca sa tvár|tvár|úsmev
😚;bozkávajúca tvár so zatvorenými očami;bozk|bozkávajúca tvár so zatvorenými očami|oko|tvár|zatvorené
😙;bozkávajúca tvár s prižmúrenými očami;bozk|bozkávajúca tvár s prižmúrenými očami|oko|tvár|úsmev
🥲;smejúca sa tvár so slzou;hrdosť|slza|smejúca sa tvár so slzou|uľahčenie|úsmev|vďačnosť
😋;pochutnávajúca si tvár;dobrota|jedlo|mňam|pochutnávajúca si tvár|tvár|úsmev
😛;tvár s vyplazeným jazykom;drzá|jazyk|tvár|tvár s vyplazeným jazykom
😜;žmurkajúca tvár s vyplazeným jazykom;jazyk|oko|tvár|vtip|žmurkajúca tvár s vyplazeným jazykom|žmurkať
🤪;bláznivá tvár;bláznivá|šialená|šialenec|tvár
😝;škúliaca tvár s jazykom;chuť|hrozná|jazyk|oko|škúliaca tvár s jazykom|škúliť|tvár
🤑;tvár s peniazmi na jazyku;peniaze|tvár|tvár s peniazmi na jazyku|ústa
🤗;objímajúca tvár;objatie|objímajúca tvár|objímanie|tvár
🤭;tvár s rukou na ústach;chi|joj|tvár s rukou na ústach
🫢;tvár s otvorenými očami a rukou na ústach;nevera|prekvapenie|strach|tvár s otvorenými očami a rukou na ústach|úžas|v rozpakoch|zdesenie
🫣;tvár vykúkajúca pomedzi prsty;pokukávanie|tvár vykúkajúca pomedzi prsty|uchvátená|zízanie
🤫;tvár s prstom na ústach;čit|pst|ticho|tvár s prstom na ústach
🤔;premýšľajúca tvár;premýšľajúca tvár|premýšľať|tvár
🫡;salutujúca tvár;ako povieš|áno|salutovať|salutujúca tvár|slnko v očiach|zdravím
🤐;tvár so zazipsovanými ústami;mlčať|tvár|tvár so zazipsovanými ústami|ústa
🤨;tvár so zdvihnutým obočím;nedôvera|pochyba|skeptik|tvár so zdvihnutým obočím
😐;neutrálna tvár;kamenná|neutrálna|tvár
😑;bezvýrazná tvár;bezvýrazná|neurčitá|tvár
😶;tvár bez úst;nemá|tichá|tvár|tvár bez úst|ústa
🫥;tvár s prerušovanou čiarou;introvert|neviditeľná|skľúčená|skryť|tvár s prerušovanou čiarou|zmiznúť
😶‍🌫️;tvár v oblakoch;hlava v oblakoch|neprítomná|nesústredená|tvár v hmle|tvár v oblakoch
😏;samoľúba tvár;samoľúba|tvár
😒;znudená tvár;nespokojná|nuda|tvár|znudená
🙄;tvár prevracajúca oči;oči|prevracať|tvár|tvár prevracajúca oči
😬;vyškerená tvár;grimasa|tvár|vyškerená
😮‍💨;vydychujúca tvár;hvízdať|pískať|šepkať|úľava|vydýchnuť|vydychujúca tvár|vzdychať
🤥;tvár s dlhým nosom;klamať|klamstvo|lož|tvár|tvár s dlhým nosom
🫨;roztrasená tvár;roztrasená tvár|šok|trasenie|tvár|vibrovanie|zemetrasenie
🙂‍↔️;hlava krútiaca sa zo strany na stranu;hlava krútiaca sa zo strany na stranu|krútenie|nie
🙂‍↕️;prikyvujúca hlava;áno|prikývnutie|prikyvujúca hlava
😌;tvár vyjadrujúca úľavu;tvár|tvár vyjadrujúca úľavu|úľava|upokojená
😔;zamyslená tvár;deprimovaná|tvár|zamyslená
😪;ospalá tvár;ospalá|tvár|únava
🤤;slintajúca tvár;blaho|slintajúca tvár|slintať|tvár
😴;spiaca tvár;spánok|spať|spiaca tvár|tvár
😷;tvár s rúškom;chorá|choroba|doktor|lekár|tvár|tvár s rúškom
🤒;tvár s teplomerom;chorá|nezdravá|teplomer|tvár|tvár s teplomerom
🤕;tvár s obväzom;obväz|poranená|tvár|tvár s obväzom|zranenie
🤢;tvár, ktorej je zle;ktorej je zle|nevoľnosť|tvár|tvár, ktorej je zle|vracať|zle
🤮;tvár, ktorá vracia;ktorá vracia|tvár|tvár, ktorá vracia|vracať|zle
🤧;kýchajúca tvár;kýchajúca tvár|kýchať|kýchnutie|tvár
