# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;חיוך רחב;חיוך|חיוך רחב|מחייך|פרצוף|שמח
😃;פרצוף עם חיוך רחב ועיניים גדולות;חיוך|פה מחייך|פנים מחייכות|פרצוף שמח
😄;פרצוף מחייך עם פה פתוח ועיניים מחייכות;חחח|חיוך|פנים מחייכות|צוחק|שמח
😁;פרצוף זורח עם עיניים מחייכות;זורח|חיוך|מרוצה|עיניים|פנים מחייכות|פרצוף
😆;פרצוף מחייך בפה פתוח ועיניים עצומות;חחח|חיוך|מחייך|עיניים עצומות|פרצוף מחייך|צוחק|צחוק
😅;פרצוף מחייך עם טיפת זיעה;זיעה|טיפת זיעה|מחייך|מתוח|פרצוף מחייך
🤣;מתגלגל על הרצפה מרוב צחוק;בוכה|דמעות|חחח|מצחיק|מתגלגל|מתפקע מצחוק|פרצוף|צוחק|צחוק
😂;פרצוף עם דמעות שמחה;LOL|דמעות|חחח|מצחיק|מתפקע מצחוק|פרצוף|צחוק|שמח|שמחה
🙂;פרצוף עם חיוך קטן;חיוך|נחמד|פנים מחייכות|פרצוף|פרצוף עם חיוך קל
🙃;פרצוף הפוך;הפוך|פרצוף|פרצוף הפוך מחייך
🫠;פרצוף נמס;איזה חום|חם|מזיע|מתמוסס|נוזל|נמס|נעלם
😉;פרצוף קורץ;פרצוף|קורץ|קריצה
😊;פרצוף מחייך עם עיניים מחייכות;חיוך|מסמיק|נבוך|שמח
😇;פרצוף מחייך עם הילת מלאך;מחייך|מלאך|פני מלאך|פרצוף|תמים
🥰;פרצוף מחייך עם לבבות;הערצה|לבבות|לבבות מסביב לפרצוף מחייך|מאוהב|מעריץ|מת עליך
😍;פרצוף מחייך עם עיני לבבות;אהבה|חולה עליך|חיוך|לבבות|מאוהב|מחייך|עיניים|פרצוף
🤩;פרצוף עם עיני כוכבים;ואו|כוכבים|להט״ב|מחייך|נלהב|עיניים|פרצוף|שמח
😘;פרצוף מפריח נשיקה;מנשק|נשיקה|פרצוף|פרצוף מפריח נשיקה
😗;פרצוף מנשק;אהבה|מנשק|נשיקה|פוצי מוצי|פרצוף
☺️;פרצוף מחייך;חיוך|מחייך|מסופק|פרצוף|רגוע
😚;פרצוף מנשק עם עיניים סגורות;אוהב|מנשק|נשיקה|נשיקה עם עיניים סגורות|סגורות|עיניים|פרצוף
😙;פרצוף מנשק עם עיניים מחייכות;אהבה|אוהב|אוהבת|חיוך|מנשק|נשיקה עם עיניים מחייכות|עיניים|פרצוף
🥲;פרצוף מחייך עם דמעה;גאווה|דומע|דמעה|חיוך עם דמעה|מחייך|מרגש|מתרגש
😋;פרצוף של הנאה מאוכל טעים;אוכל טעים|טעים|יאמי|מוציא לשון|מחייך
😛;פרצוף מוציא לשון;דווקא|לשון|מחייך|משרבב לשון|פרצוף
😜;פרצוף מוציא לשון וקורץ;לשון|מחייך|פרצוף|קורץ|שובב
🤪;פרצוף משוגע;מוזר|משוגע|עין|עיניים|פסיכי
😝;פרצוף מוציא לשון ועוצם עיניים בחוזקה;לועג|לשון|מגעיל|מוציא לשון|מחייך|עיניים עצומות|פרצוף
🤑;פרצוף עם סימני דולר בעיניים ובלשון;דולר|כסף|לשון|משכורת|סימני דולר|פרצוף|תאב בצע
🤗;פרצוף מחבק;חיבוק|ידיים|מחייך|פרצוף|פרצוף מחבק
🤭;פרצוף עם יד על הפה;אוי|אופס|טעות|פרצוף עם יד על הפה
🫢;פרצוף עם יד על הפה ועיניים פעורות;omg|הפתעה|חוסר אמון|חרדה|יראה|מביך|מפחד|פרצוף המום|שוק|תדהמה
🫣;פרצוף מציץ עם יד על העיניים;בושה|הצצה|מתבייש|נבוך|פרצוף מסמיק|שקוע במשהו
🤫;פרצוף עושה סימן לשקט;הס|סוד|שקט|ששש
🤔;פרצוף חושב;חושב|מהרהר|פרצוף|תוהה
🫡;פרצוף מצדיע;בהצלחה|דרך צלחה|הצדעה|חם כאן|כן המפקד/ת|פרצוף מצדיע|צבא
🤐;פרצוף עם פה סגור ברוכסן;אין מילים|לשתוק|סגור|פה|פרצוף|פרצוף עם פה סגור ברוכסן|רוכסן|ריצ׳רץ׳|שותק|שקט
🤨;פרצוף עם גבות מורמות;לא מאמין|מטיל ספק|ספקן|פקפקן|פרצוף|פרצוף עם גבות מורמות
😐;פרצוף חסר הבעה;חסר הבעה|לא מצחיק|לא משנה|פרצוף|פרצוף חסר הבעה
😑;פרצוף חסר הבעה ועיניים סגורות;חסר הבעה|פרצוף|פרצוף חסר הבעה ועיניים סגורות
😶;פרצוף ללא פה;פה|פרצוף|פרצוף בלי פה|פרצוף ללא פה|שותק|שקט
🫥;פרצוף עם קו מקווקו;בלתי נראה|דיכאון|מדוכא|מופנם|מחבוא|מסתתר|נחבא אל הכלים|נעלם|פרצוף מיואש|פרצוף עם קו מקווקו
😶‍🌫️;פרצוף בעננים;בעננים|בערפל|חולמני|מפוזר|פרצוף בעננים|ראש בעננים
😏;פרצוף זחוח;אחלה|בוס|זחוח|משוויץ|סנוב|עף על עצמו|פרצוף
😒;פרצוף לא מתרשם;לא משועשע|לא מתרשם|פרצוף|פרצוף לא מתרשם|פרצוף מקנא|פרצוף משועמם
🙄;פרצוף מגלגל עיניים;גלגול עיניים|למעלה|מגלגל|עיניים|פרצוף
