# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ansikte med stort leende;ansikte|glad|kul|leende|roligt|skratt
😃;flinande ansikte med stora ögon;ansikte|flina|glad|kul|leende|mun|ögon|öppen|roligt|skratt|stora|tänder
😄;flinande ansikte med leende ögon;ansikte|blundar|flina|glad|kul|leende|lol|ögon|roligt|skratt
😁;strålande ansikte med leende ögon;ansikte|leende|ögon|roligt|skratt|strålande|tänder
😆;flinande ansikte med kisande ögon;ansikte|flinande|hahaha|jätteroligt|kiknar|leende|mun|ögon|öppen|roligt|skratt|stängda
😅;flinande ansikte med svettdroppe;ansikte|droppe|glad|jobbigt|leende|nervös|stress|svett|trött
🤣;rullar runt på golvet och skrattar;ansikte|gapskratt|golv|gråter|jätteroligt|rullar|skratt|tårar
😂;ansikte med glädjetårar;ansikte|gapskratt|glädjetårar|gråt|jätteroligt|skratt|tårar
🙂;småleende ansikte;ansikte|glad|leende|ler|litet|nöjd
🙃;upp-och-nervänt ansikte;ansikte|leende|upp-och-ner
🫠;smältande ansikte;ansikte|flytande|försvinner|smälter|upplöses|varmt
😉;ansikte som blinkar med ett öga;ansikte|blinkar|flört|öga|skämt
😊;leende ansikte och ögon;ansikte|glad|kinder|leende|ler|nöjd|ögon|rosiga
😇;leende ansikte med gloria;ansikte|gloria|leende
🥰;leende ansikte med tre hjärtan;älskar|ansikte|förtjust|hjärtan|kär|leende|romantik
😍;leende ansikte med hjärtformade ögon;älskar|ansikte|gullig|hjärta|kärlek|leende|ögon|söt
🤩;stjärnögt ansikte;ansikte|glad|imponerad|stjärnögd|stjärnsmäll|wow
😘;ansikte ger en slängkyss;älskar|ansikte|hjärta|puss|slängkyss
😗;pussande ansikte;ansikte|plutar|puss
☺️;leende ansikte;ansikte|glad|leende|nöjd|smiley
😚;pussande ansikte med slutna ögon;ansikte|blundar|glad|kinder|puss|rosiga
😙;pussande ansikte med leende ögon;ansikte|glad|godnatt|leende|ögon|puss
🥲;tårögt leende ansikte;ansikte|berörd|lättad|leende|smiley|stolt|tacksam|tår|tårögt
😋;ansikte som njuter av god mat;ansikte|dreglar|god|gott|hungrig|leende|mat|mums|njuter|smakar|tunga
😛;ansikte räcker ut tungan;ansikte|blä|räcker ut|tunga
😜;blinkande ansikte räcker ut tungan;ansikte|blinkande|knäpp|räcker ut|skojar|tokigt|tungan
🤪;tokigt ansikte;ansikte|liten|öga|skojar|stor|tokigt|tunga
😝;ansikte räcker ut tungan med stängda ögon;äckligt|ansikte|kniper ihop|ögon|räcker ut|tunga
🤑;ansikte med dollarögon;ansikte|dollarögon|girig|pengamun|pengar|tjäna
🤗;ansikte som kramas;ansikte|glad|hej|kram|leende|vinkar
🤭;ansikte med handen för munnen;ansikte|fnissar|hand|hoppsan|mun
🫢;ansikte med öppna ögon och hand för munnen;åh nej|ansikte|chockad|förvånad|generad|hand|mun|ögon|överraskad|överväldigad|rädd|stora
🫣;ansikte med kikande öga;ansikte|blyg|fängslad|försiktig|kikar|öga|rädd|tjuvkikar
🤫;hyssjande ansikte;ansikte|hemlighet|hyssjar|tyst
🤔;ansikte som tänker;ansikte|funderar|fundersamt|tänker|undrar
🫡;ansikte som gör honnör;ajaj kapten|ansikte|hälsa|honnör|instämma|ja|lycka till|ok|salutera
🤐;ansikte som tiger;ansikte|dragkedja|håller|hemlighet|mun|tiger|tyst
🤨;ansikte med höjt ögonbryn;ansikte|höjt|ögonbryn|skeptisk|tveksam
😐;neutralt ansikte;ansikte|ingen|kommentar|neutralt
😑;uttryckslöst ansikte;ansikte|ingen|kommentar|uttryckslöst
😶;ansikte utan mun;ansikte|hemlighet|mun|stum|tyst|utan|uttryckslös
🫥;osynligt ansikte;ansikte|deprimerad|försvinner|gömd|introvert|osynlig
😶‍🌫️;ansikte i moln;ansikte|dimma|disträ|glömsk|moln|tankspridd
😏;halvleende ansikte;ansikte|flin|halvleende|småleende
😒;missnöjt ansikte;ansikte|less|missnöjd|sur
🙄;ansikte som himlar med ögonen;ansikte|himlar|ögon|osäker
😬;grimaserande ansikte;ansikte|biter ihop|grimaserar|tänder
😮‍💨;ansikte andas ut;andas ut|ansikte|ledsen|pustar|suckar
🤥;ljugande ansikte;ansikte|ljugande|ljuger|lögn|näsa|pinocchio|växer
🫨;skakande ansikte;ansikte|chock|förvirring|galet|jordbävning|överraskad|panik|shock|skakande|vibrera
🙂‍↔️;huvud skakar horisontellt;horisontellt|huvud|nej|skakar
🙂‍↕️;huvud skakar vertikalt;huvud|ja|nickar|skakar|vertikalt
😌;lättat ansikte;ansikte|lättat|lättnad|lugn
😔;funderande ansikte;ansikte|funderande|funderar|ledsen|sörjer|tänker
😪;sömnigt ansikte;ansikte|gråtande|sömnig|trött
🤤;dreglande ansikte;ansikte|dreglar
