# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;Широко усмихнато лице;лице|ухилване|широка усмивка|Широко усмихнато лице
😃;Широко усмихнато лице с големи очи;лице|отворен|усмивка|уста|Широко усмихнато лице с големи очи
😄;Широко усмихнато лице с усмихнати очи;лице|отворен|усмивка|уста|Широко усмихнато лице с усмихнати очи
😁;Сияещо лице с усмихващи се очи;лице|око|Сияещо лице с усмихващи се очи|усмивка|ухилване
😆;широко усмихнато лице с присвити очи;лице|смях|удовлетворен|усмивка|уста|широко усмихнато лице с присвити очи
😅;Широко усмихнато лице с пот на челото;лице|отворен|пот|усмивка|Широко усмихнато лице с пот на челото
🤣;Заливащо се от смях лице;заливане|Заливащо се от смях лице|лице|смях
😂;Лице със сълзи от радост;лице|Лице със сълзи от радост|радост|смях|сълза
🙂;Леко усмихнато лице;Леко усмихнато лице|лице|усмивка
🙃;Обърнато наобратно лице;лице|наобратно|Обърнато наобратно лице
🫠;топящо се лице;изчезвам|разтварям се|течен|топя се|топящо се лице
😉;Намигащо лице;лице|Намигащо лице|намигване
😊;Усмихнато лице с усмихнати очи;изчервяване|лице|око|усмивка|Усмихнато лице с усмихнати очи
😇;Усмихнато лице с ореол;ангел|лице|невинно|ореол|Усмихнато лице с ореол|фантазия
🥰;усмихнато лице със сърца;влюбен|любов|обожание|усмихнато лице със сърца
😍;Усмихнато лице с очи във форма на сърце;лице|око|сърце|усмивка|Усмихнато лице с очи във форма на сърце
🤩;дълбоко запленен;дълбоко запленен|звезда|лице|очи|широко усмихнат
😘;Лице, пращащо въздушна целувка;Лице|Лице, пращащо въздушна целувка|пращащо въздушна целувка|сърце|целувка
😗;Целуващо лице;лице|Целуващо лице|целувка
☺️;Усмихнато лице;лице|спокоен|усмивка|Усмихнато лице
😚;Целуващо лице със затворени очи;затворен|лице|око|Целуващо лице със затворени очи|целувка
😙;Целуващо лице с усмихнати очи;лице|око|усмивка|Целуващо лице с усмихнати очи|целувка
🥲;усмихнато лице със сълза;благодарност|гордост|облекчение|разчувстване|сълза|усмивка|усмихнато лице със сълза
😋;Лице, наслаждаващо се на вкусна храна;вкусен|Лице|Лице, наслаждаващо се на вкусна храна|наслаждавам се|наслаждаващо се на вкусна храна|усмивка
😛;Плезещо се лице;език|лице|Плезещо се лице
😜;Намигащо и плезещо се лице;език|лице|Намигащо и плезещо се лице|намигване|шега
🤪;Налудничаво лице;големи|малки|Налудничаво лице|око
😝;Лице с изплезен език и стиснати очи;вкус|език|лице|Лице с изплезен език и стиснати очи|ужасен
🤑;Лице с пари в устата;лице|Лице с пари в устата|пари|уста
