# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;დაკრეჭილი სახე;დაკრეჭა|დაკრეჭილი|სახე
😃;მომღიმარე სახე ღია პირით;მომღიმარე სახე ღია პირით|პირი|პირღია|სახე|ღია|ღიმილი
😄;მომღიმარე სახე ღია პირითა და მომღიმარე თვალებით;თვალი|მომღიმარე სახე ღია პირითა და მომღიმარე თვალებით|პირი|პირღია|სახე|ღია|ღიმილი
😁;დაკრეჭილი სახე მომღიმარე თვალებით;დაკრეჭა|დაკრეჭილი|დაკრეჭილი სახე მომღიმარე თვალებით|თვალი|სახე|ღიმილი
😆;მომღიმარე სახე ღია პირითა და მაგრად დახუჭული თვალებით;კმაყოფილი|მომღიმარე სახე ღია პირითა და მაგრად დახუჭული თვალებით|პირი|პირღია|სახე|სიცილი|ღია|ღიმილი
😅;მომღიმარე სახე ღია პირითა და ცივი ოფლით;მომღიმარე სახე ღია პირითა და ცივი ოფლით|ოფლი|ოფლიანი|პირღია|სახე|ღია|ღიმილი|ცივი
🤣;სიცილისგან იატაკზე ხოხვა;იატაკი|სახე|სიცილი|სიცილისგან იატაკზე ხოხვა|ხოხვა
😂;სახე სიხარულის ცრემლებით;მხიარული|სახე|სახე სიხარულის ცრემლებით|სიცილი|სიხარული|ცრემლი|ცრემლიანი
🙂;ოდნავ მომღიმარე სახე;ოდნავ მომღიმარე სახე|სახე|ღიმილი
🙃;ამოტრიალებული სახე;ამოტრიალებული|სახე
🫠;დნება სახე;გაქრება|დაითხოვს|დნება|დნება სახე|თხევადი
😉;სახე ჩაკრული თვალით;სახე|სახე ჩაკრული თვალით|ჩაკვრა|ჩაპაჭუნება
😊;მომღიმარე სახე მომღიმარე თვალებით;თვალი|მომღიმარე სახე მომღიმარე თვალებით|სახე|სირცხვილი|უხერხულობა|ღიმილი
😇;მომღიმარე სახე შარავანდედით;ანგელოზი|ზღაპარი|მომღიმარე სახე შარავანდედით|სახე|უდანაშაულო|უმანკო|ფანტაზია|ფანტასტიკა|ღიმილი|შარავანდედი
🥰;მომღიმარე სახე სამი გულით;გაღმერთება|თაყვანისცემა|მომღიმარე სახე სამი გულით|შეყვარებული
😍;მომღიმარე სახე გულის ფორმის თვალებით;გული|თვალი|მომღიმარე სახე გულის ფორმის თვალებით|სახე|სიყვარული|ღიმილი
🤩;ვარსკვლავიანი სახე;დაკრეჭილი|ვარსკვლავი|ვარსკვლავიანი სახე|თვალები|სახე
😘;სახე, რომელიც კოცნას აგზავნის;გული|კოცნა|რომელიც კოცნას აგზავნის|სახე|სახე, რომელიც კოცნას აგზავნის
😗;კოცნის გამომხატველი სახე;კოცნა|კოცნის გამომხატველი სახე|სახე
☺️;მომღიმარე სახე;კონტურიანი|მომღიმარე სახე|მშვიდი|სახე|ღიმილი
😚;კოცნის გამომხატველი სახე დახუჭული თვალებით;დახურული|თვალი|კოცნა|კოცნის გამომხატველი სახე დახუჭული თვალებით|სახე
😙;კოცნის გამომხატველი სახე მომღიმარე თვალებით;თვალი|კოცნა|კოცნის გამომხატველი სახე მომღიმარე თვალებით|სახე|ღიმილი
🥲;მომღიმარი სახე ცრემლით;ამაყი|გულაჩუყებული|მადლიერი|მომღიმარი|მომღიმარი სახე ცრემლით|ცრემლი
😋;სახე, რომელიც გემრიელ საჭმელს აგემოვნებს;გემრიელი|დაგემოვნება|მმმ|რომელიც გემრიელ საჭმელს აგემოვნებს|სახე|სახე, რომელიც გემრიელ საჭმელს აგემოვნებს|ღიმილი
😛;სახე გამოყოფილი ენით;ენა|სახე|სახე გამოყოფილი ენით
😜;სახე გამოყოფილი ენითა და ჩაკრული თვალით;ენა|თვალი|სახე|სახე გამოყოფილი ენითა და ჩაკრული თვალით|ჩაკვრა|ჩაპაჭუნება|ხუმრობა
🤪;შეშლილი სახე;გაგიჟებული|დიდი|პატარა|სახე|შეშლილი
😝;სახე გამოყოფილი ენითა და მაგრად დახუჭული თვალებით;გემო|ენა|თვალი|საშინელი|სახე|სახე გამოყოფილი ენითა და მაგრად დახუჭული თვალებით
🤑;სახე ენაზე ფულით;პირი|სახე|სახე ენაზე ფულით|ფული
🤗;ჩახუტების გამომხატველი სახე;სახე|ჩახუტება|ჩახუტების გამომხატველი სახე
🤭;სახეზე აფარებული ხელი;ვაი|სახეზე აფარებული ხელი|უი
🫢;სახე თვალებგაფართოებული და პირზე ხელი გადასცა;არეულობა|გაოცება|სახე თვალებგაფართოებული და პირზე ხელი გადასცა|ურწმუნოება|შეშინებული|შიში
🫣;სახე იჭყიტება ცალი თვალით;გაიტაცა|მზერა|სახე იჭყიტება ცალი თვალით
🤫;გაჩუმების ჟესტი;გაჩუმების ჟესტი|სიჩუმე|სუუ|შშშ|ჩუ|ჩუმად
🤔;ჩაფიქრებული სახე;სახე|ფიქრი|ჩაფიქრებული სახე
🫡;სახე მხედრული სალმით;დიახ|კარგი|მზიანი|მხედრული სალამი|სახე მხედრული სალმით|ჯარი
🤐;ელვა-შესაკრავიანი სახე;ელვა|ელვა-შესაკრავიანი სახე|პირი|სახე
🤨;წარბაწეული სახე;ეჭვი|სკეპტიკური|უნდობლობა|წარბაწეული სახე
😐;ნეიტრალური სახე;ნეიტრალური|სახე|უემოციო
😑;უემოციო სახე;არაფრის მთქმელი|არაფრისმთქმელი|სახე|უემოციო
😶;უპირო სახე;პირი|სახე|სიჩუმე|სიწყნარე|უპირო სახე
🫥;პუნქტირით შემოხაზული სახე;გაქრობა|დამალვა|დეპრესიული|ინტროვერტი|პუნქტირით შემოხაზული სახე|უხილავი
😶‍🌫️;სახე ღრუბლებში;გაფანტული|სახე|სახე ღრუბლებში
😏;დამცინავი სახე;დამცინავი სახე|დაცინვა|სახე
😒;უხალისო სახე;სახე|უხალისო|ცალყბა
🙄;სახე გადატრიალებული თვალებით;გადატრიალება|თვალები|სახე|სახე გადატრიალებული თვალებით
😬;დამანჭული სახე;დამანჭვა|დამანჭული სახე|სახე
😮‍💨;ამოსუნთქვა;ამოოხვრა|ამოსუნთქვა|სტვენა|ჩურჩული
