# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;嘿嘿;嘿嘿|笑脸|脸
😃;哈哈;哈哈|开口笑|笑脸|脸
😄;大笑;哈哈|大笑|开心|笑|脸|高兴
😁;嘻嘻;嘻嘻|笑脸|脸
😆;斜眼笑;开心|斜眼笑|眯眼|笑|脸|高兴
😅;苦笑;冷汗|汗|脸|苦笑
🤣;笑得满地打滚;地板|打滚|笑|笑得满地打滚|脸
😂;笑哭了;眼泪|笑|笑哭了|脸
🙂;呵呵;呵呵|开心|笑|脸
🙃;倒脸;倒脸|脸|颠倒|颠倒的脸
🫠;融化;消失|液体|溶解|融化
😉;眨眼;媚眼|眨眼|笑
😊;羞涩微笑;害羞|微笑|羞涩|羞涩微笑|脸|脸红
😇;微笑天使;光环|天使|天真|幻想|微笑|微笑天使|脸
🥰;喜笑颜开;喜笑颜开|心|爱慕|迷恋|陷入爱河
😍;花痴;爱|红心|脸|花痴
🤩;好崇拜哦;咧嘴笑|好崇拜哦|脸|露齿笑
😘;飞吻;亲亲|眨眼|脸|飞吻
😗;亲亲;亲亲|吻|脸
☺️;微笑;呵呵|开心|微笑|放松|笑|脸
😚;羞涩亲亲;亲亲|吻|羞涩|羞涩亲亲|脸|闭眼
😙;微笑亲亲;亲亲|吻|微笑|微笑亲亲|脸
🥲;含泪的笑脸;含泪的笑脸|微笑的|感动的|感恩的|眼泪|释怀的|骄傲的
😋;好吃;好吃|津津有味|美味|脸
😛;吐舌;吐舌|脸|舌头|调皮
😜;单眼吐舌;单眼|单眼吐舌|吐舌|开玩笑|脸
🤪;滑稽;大眼|小眼|滑稽|滑稽的脸|疯狂的脸|脸
😝;眯眼吐舌;可怕|吐舌|眯眼|眯眼吐舌|眼睛|脸
🤑;发财;发财|拜金|脸|见钱眼开|钱
🤗;抱抱;抱|抱抱|拥抱|笑|脸
🤭;不说;不说|哎呀|脸
🫢;睁眼捂嘴;害怕|尴尬|怀疑|惊奇|惊愕|敬畏|睁眼捂嘴
🫣;偷看;偷看|偷窥|凝视|迷住
🤫;安静的脸;嘘|安静|安静的脸
🤔;想一想;思考|想|想一想|脸
🫡;致敬;军队|好|是|致敬|阳光
🤐;闭嘴;嘴|脸|闭嘴
🤨;挑眉;不信任|怀疑|挑眉|眉毛上挑的脸|脸
😐;冷漠;冷漠|脸|面无表情
😑;无语;无语|脸|茫然|面无表情
😶;沉默;嘴|安静|沉默|脸
🫥;虚线脸;内向|沮丧|消失|虚线脸|隐形|隐藏
😶‍🌫️;迷茫;迷茫
😏;得意;假笑|得意
😒;不高兴;不屑|不服|不高兴|脸|郁闷|鄙视
🙄;翻白眼;无语|白眼|翻白眼|脸
😬;龇牙咧嘴;咬牙切齿|脸|露齿|鬼脸|龇牙咧嘴
😮‍💨;呼气;叹息|叹气|呼气|呼气的脸|松一口气|释然
🤥;说谎;匹诺曹|脸|说谎|长鼻子
🫨;颤抖;地震|脸|震动|震惊|颤抖
🙂‍↔️;左右摇头;否定|左右摇头|摇头
🙂‍↕️;上下点头;上下点头|点头，肯定
😌;松了口气;如释重负|松了口气|松口气|脸
😔;沉思;心事重重|沉思|脸
😪;困;困|睡觉|瞌睡|脸
🤤;流口水;口水|垂涎三尺|流口水|脸
😴;睡着了;呼噜|打呼|睡着了|脸
😷;感冒;医生|口罩|感冒|生病|脸
🤒;发烧;体温计|发烧|温度计|生病|脸
🤕;受伤;受伤|打绷带|脸
🤢;恶心;吐|呕|恶心|脸
🤮;呕吐;不舒服|呕吐|脸
🤧;打喷嚏;喷嚏|打喷嚏|脸|鼻涕
🥵;脸发烧;出汗|发烧|发热|心狂跳|脸发烧|脸红
🥶;冷脸;冷|冷冰冰|冷脸|冻僵|满面寒霜
🥴;头昏眼花;嘴唇颤抖|头昏眼花|头晕眼花|微醺|眼花|醉醺醺
😵;晕头转向;头晕|头晕眼花|晕头|晕头转向|脸
😵‍💫;晕;晕
🤯;爆炸头;爆炸头|震惊
🤠;牛仔帽脸;帽|牛仔|牛仔帽脸|脸
🥳;聚会笑脸;号角|帽子|庆祝|聚会|聚会笑脸
🥸;伪装的脸;伪装|伪装的脸|眼镜|脸|隐瞒身份|鼻子
