# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خنده;خنده|صورت با لبخند|لبخند|نیش باز
😃;صورت خندان;باز|خنده|دهان|صورت|صورت خندان|لبخند
😄;خندان;باز|چشم|خندان|خنده|دهان|صورتک با پوزخند و چشمان خندان|لبخند
😁;خندهٔ دندانی;تبسم|چشم|خندهٔ دندانی|صورت|صورت شاد با چشمان خندان|نیشخند
😆;قاه‌قاه;خوشحالی|دهان|صورت|قاه‌قاه|لبخند
😅;صورت خندان و عرق‌کرده;باز|خنده و عرق خوشحالی|صورت|صورت خندان و عرق‌کرده|عرق|لبخند
🤣;از خنده غش کردن;از خنده|از خنده غش کردن|صورت|غش|قهقهه|مردم
😂;روده‌بر;اشک|خنده بلند|خوشحالی|روده‌بر|صورت
🙂;لبخند ملایم;صورت|لبخند|لبخند ملایم
🙃;صورت وارونه;صورت|لبخند|معکوس|وارونه
🫠;چهره درحال ذوب شدن;چهره درحال ذوب شدن|حل شدن|ذوب شدن|مایع|ناپدید شدن
😉;چشمک;چشمک|صورت
😊;لبخند خجالتی;چشم|خجالت|سرخ شدن|صورت|لبخند|لبخند خجالتی
😇;هاله‌دار;صورت|فانتزی|فرشته|لبخند|معصوم|هاله|هاله‌دار
🥰;صورت خندان و عاشق;خاطرخواه|شیفته|صورت خندان با قلب|صورت خندان و عاشق|عاشق|قلب
😍;چشم‌های عاشق;چشم|چشم‌های عاشق|صورت|عاشق|عشق|قلب|لبخند
🤩;فوق‌العاده;جذاب|چشمان|خندان|ستاره|صورت|فوق‌العاده|هیجان‌انگیز
😘;بوسه فرستادن;بوسه|بوسه فرستادن|بوسیدن|صورت|قلب
😗;بوسیدن;بوسه|بوسیدن|صورت
☺️;لبخند;آرام|بسته|چشم|صورت|لبخند
😚;بوسهٔ خجالتی;بسته|بوسه|بوسهٔ خجالتی|بوسیدن|چشم|صورت
😙;بوسیدن با چشمان خندان;بوسه|بوسیدن|بوسیدن با چشمان خندان|چشم|صورت|لبخند
🥲;چهرهٔ خندان با اشک;آسوده‌خاطر|اشک|چهرهٔ خندان با اشک|خرسند|خندان|سربلند|مسرور
😋;صورت درحال لیسیدن لب;به‌به|خوشمزه|صورت|صورت درحال لیسیدن لب|لبخند|لذیذ
😛;صورت با زبان بیرون‌آمده;زبان|زبان بیرون آمده|زبانک|صورت|صورت با زبان بیرون‌آمده
😜;صورت با چشمک و زبان بیرون آمده;چشمک زدن|زبان|زبانک انداختن و چشمک زدن|شوخی|صورت با چشمک و زبان بیرون آمده|صورتک
🤪;صورتک لوده;احمق|بزرگ|بی‌عقل|چشم|دیوانه|صورتک لوده|کوچک
😝;زبونک با چشم بسته;چشم بسته|زبان|زبونک با چشم بسته|صورت|فجیع
🤑;صورت پول‌دوست;پول|دهان|صورت|صورت پول‌دوست
🤗;بغل کردن;آغوش|بغل کردن|در آغوش گرفتن|صورت|لبخند
🤭;صورتک با دست روی دهان;آخ|اوه|ای وای|دست روی دهان|صورتک با دست روی دهان|وا
🫢;چهره با چشمان باز و دست روی دهان;ترس|چهره با چشمان باز و دست روی دهان|حیرت|خجالت|شگفتی|غافلگیری|ناباوری
🫣;چهره با نگاه دزدکی;چهره با نگاه دزدکی|خیره شدن|شیفته|نگاه دزدکی
🤫;هیس;بی‌صدا|ساکت|هیس
🤔;درحال تفکر;تفکر|درحال تفکر|صورت|فکر کردن|متفکر
🫡;چهره سلام‌کنان;آفتابی|افراد|اوکی|بله|چهره سلام‌کنان|سلام|سلام نظامی
🤐;دهان چفت;دهان|دهان چفت|زیپ|صورت|قابل اعتماد|قفل
🤨;صورت با ابروی بالاداده;سوءظن|شک|شکاک|صورت با ابروی بالاداده
😐;خنثی;بی‌روح|بی‌طرف|خنثی|صورت
😑;صورت بی‌حالت;بدون احساس|بدون حالت|بی‌بیان|بی‌حالت|صورت|گنگ
😶;صورت بدون لب;آرام|بی‌صدا|دهان|ساکت|صورت|صورت بدون لب
🫥;چهره با خط‌چین;افسرده|برون‌گرا|پنهان|چهره با خط‌چین|ناپدید|نامرئی
😶‍🌫️;صورتک میان ابر;حواس‌پرت|سر در میان ابرها|صورتک در مه|صورتک میان ابر|صورتک میان ابرها
😏;پوزخند;پوزخند|تمسخر|صورت
😒;کسل;بی‌حوصله|صورت|کسل|کسل‌کننده
🙄;نگاه کلافه;چشم|صورت|کلافه|نگاه عاقل اندر سفیه|نگاه کلافه
😬;دهن‌کجی;ادا و اصول|دهن‌کجی|شکلک|صورت|منزجر
😮‍💨;صورتک در حال بازدم;بازدم|سوت زدن|صورتک در حال بازدم|فوت کردن|نالیدن|نجوا کردن|نفس زدن
🤥;صورت دروغگو;پینوکیو|دروغ|دروغگو|دماغ دراز|دماغ‌دراز|صورت دروغگو
🫨;چهره لرزان;چهره لرزان|زلزله|شوک|صورت|لرزان|مرتعش
🙂‍↔️;تکان دادن افقی سر;تکان دادن افقی سر|نه، تکان سر
🙂‍↕️;تکان دادن عمودی سر;تکان دادن عمودی سر|تکان سر، بله
😌;آسوده‌خاطر;آسوده‌خاطر|خیال راحت|صورت
😔;چهره غمگین;افسرده|اندیشناک|چهره غمگین|غمگین|محزون|ناامید
😪;خواب‌آلود;خواب|خواب‌آلود|صورت
🤤;آب افتادن دهان;آب افتادن|آب افتادن دهان|دهان|دهن
😴;خوابیده;خروپف|خواب|خوابیدن|خوابیده|صورت
😷;صورت با ماسک پزشکی;بیمار|دکتر|سرد|سرماخورده|صورت با ماسک پزشکی|ماسک|مریض
🤒;تب‌دار;بیمار|تب|تب‌دار|دماسنج|صورت|مریض
🤕;سر باندپیچی‌شده;آسیب|باندپیچی|حادثه|سر|سر باندپیچی‌شده|صدمه|صورت
🤢;حالت تهوع;استفراغ|بالا آوردن|تهوع|حال بد|حال به‌هم خوردن|حالت تهوع|صورت سبز
🤮;درحال استفراغ;استفراغ|بالا آوردن|دچار تهوع|درحال استفراغ|مریض|ناخوش
🤧;عطسه;خیر باشد|درحال عطسه|صورت|عافیت باشد|عطسه
🥵;خیلی گرم;برافروخته|تب‌دار|خیلی گرم|داغ|عرق‌کرده|قرمزشده|گرمازده
🥶;خیلی سرد;خیلی سرد|سرد|سرمازده|قندیل یخ|کبودشده|یخ‌زده
🥴;نشئه;چشمان بالا و پایین|دهان لرزان|شنگول|مست|منگ|نشئه
😵;گیج;صورت|گیج
😵‍💫;صورتک با چشمان چرخشی;سرگیجه|صورتک با چشمان چرخشی|مارپیچ|مشکل|هیپنوتیزم|وه
🤯;سر منفجرشده;سر منفجرشده|شوکه|شوکه‌شده|متعجب
🤠;کلاه کابوی;صورت|صورت کلاه‌به‌سر|کلاه|کلاه کابوی|گاوچران
🥳;جشن و سور;بوغ|جشن|جشن و سور|سور|کلاه|مهمانی
🥸;تغییرقیافه داده;بینی|تغییرقیافه|تغییرقیافه داده|چهره|عینک|ناشناس
😎;باحال;باحال|خورشید|روشن|صورت|صورت خندان با عینک آفتابی|عینک آفتابی
🤓;خوره;حرفه‌ای|خوره|صورت|عجیب و غریب|متفاوت
🧐;صورت با عینک یک‌چشمی;بدگمانی|تخیلی|سوءظن|صورت با عینک یک‌چشمی
😕;گیج‌شده;صورت|گیج|گیج‌شده|مغشوش
🫤;صورت با دهان کج;بی‌تفاوت|صورت با دهان کج|مشکوک|ناامید|نامطمئن
😟;چهره نگران;آشوب|چهره نگران|صورت|نگران
🙁;دلخور;اخم|دلخور|صورت
☹️;اخمو;اخم|اخمو|صورت
😮;دهان باز از تعجب;باز|تعجب|دهان|دهان باز از تعجب|صورت|غافلگیری|همدردی
😯;مات و مبهوت;حیرت‌زده|صورت|غافلگیر|مات|مات و مبهوت|مبهوت|متعجب
😲;بهت‌زده;بهت‌زده|شوکه‌شده|صورت|کاملاً|مبهوت|هاج‌وواج
😳;سرخ‌شده;بهت|حیرت|خجالت|سرخ‌شده
🥺;التماس‌کنان;التماس|التماس‌کنان|بخشش|خواهش|دلسوزی
🥹;چهره با چشمان پراشک;چهره با چشمان پراشک|عصبانی|غمگین|گریان|مغرور|مقاومت
😦;چهره درهم‌کشیده با دهان باز;اخم|باز|باورنکردنی|چهره|چهره درهم کشیده با دهان باز|چهره درهم‌کشیده با دهان باز|دهان
😧;دردمند;دردمند|صورت|مضطرب|نگران
😨;ترسیده;ترس|ترسناک|ترسیده|صورت
😰;عرق ترس;آبی|باز|ترس|دهان|سرد|صورت|عرق
😥;ناامید اما تسکین‌یافته;آخیش|صورت|غمگین|ناامید|ناامید اما تسکین‌یافته
😢;گریان;اشک|صورت|گریان|گریه|گریه کردن|ناراحت
😭;هق‌هق گریه;اشک|صورت|گریه کردن|ناراحت|هق‌هق|هق‌هق گریه
😱;جیغ ترس;ترس|ترسناک|ترسیده|جویدن ناخن از ترس|جیغ|صورت|وحشتناک
😖;سردرگم;به‌هم‌ریخته|سردرگم|صورت|گیج
😣;پافشاری;اصرار|پافشاری|سماجت|صورت
😞;ناامید;صورت|غمگین|ناامید|ناراحت
😓;عرق سرد;سرد|سرما|صورت|عرق
😩;ازپاافتاده;ازپاافتاده|بی‌حوصله|خسته|صورت|کسل‌کننده
😫;صورت خسته;خستگی|خسته|صورت
🥱;صورت خمیازه‌کش;خسته|خمیازه|صورت خمیازه‌کش|کسل
😤;ژست برندگی با دلخوری;برنده|پیروزی|ژست برندگی با دلخوری|صورت|غرور|فتح
😡;خشمگین;خشم|خشمگین|سرخ|صورت|عصبانی|قرمز|لبو
😠;عصبانی;دیوانه|صورت|عصبانی
🤬;صورت با نمادهایی روی دهان;صورت با نمادهایی روی دهان|ناسزاگویان
😈;صورت لبخندزنان با دوشاخ;افسانه|تخیلی|خنده شیطانی|شاخ|صورت|صورت خندان با دوشاخ|صورت لبخندزنان با دوشاخ
👿;چهره عصبانی با دو شاخ;چهره عصبانی با دو شاخ|دیو|شرور|شیطان|صورت|فانتزی
💀;جمجمه;اسکلت|بدن|جمجمه|جن و پری|صورت|مرگ|هیولا
☠️;جمجمه و استخوان صلیبی;استخوان صلیبی|جمجمه|جمجمه و استخوان صلیبی|خطر مرگ|صورت|مرگ|هیولا
💩;یه تپهٔ گه;پی‌پی|صورت|طنز|گه|مدفوع|هیولا|یه تپهٔ گه
🤡;دلقک;بی‌عرضه|تلخک|دلقک|صورت|لوده
👹;دیو;جانور|جن و پری|دیو|صورت|فانتزی|هیولا
👺;جن کوتوله;جانور|جن کوتوله|جن و پری|صورت|فانتزی|هیولا
👻;روح;جانور|جن و پری|روح|صورت|فانتزی|هیولا
👽;موجود فضایی;آدم فضایی|تخیلی|جانور|صورت|فرازمینی|موجود فضایی
👾;هیولای فضایی;آدم فضایی|بیگانه|جانور|صورت|فرازمینی|فضایی|هیولای فضایی
🤖;روبات;ربات|روبات|صورت|هیولا
😺;گربهٔ خندان;باز|خنده|دهان|صورت|گربه|گربه خندان|گربهٔ خندان
😸;گربه با چشم‌های خندان;چشم|خنده|صورت|گربه|گربه با چشم‌های خندان|گربهٔ خندان|لبخند
😹;گربهٔ خندان با اشک شوق;اشک|اشک شوق|شادی|صورت|گربه|گربهٔ خندان با اشک شوق
😻;گربهٔ خندان عاشق;چشم|صورت|عشق|قلب|گربه|گربهٔ خندان عاشق|لبخند
😼;گربه با پوزخند;پوزخند|صورت|طعنه|گربه|گربه با پوزخند|لبخند
😽;گربه و بوسهٔ خجالتی;بوسه|چشم|صورت|گربه|گربه و بوسهٔ خجالتی
🙀;گربهٔ بهت‌زده;بهت‌زده|صورت|غافلگیر|گربه|گربهٔ بهت‌زده|متعجب|وای
😿;گربهٔ گریان;اشک|صورت|گربه|گربهٔ گریان|گریه|ناراحت
😾;گربهٔ اخمو;اخم|صورت|گربه|گربهٔ اخمو
🙈;میمون شرنبین;دیدن|شر|صورت|ممنوع|میمون|میمون خوش‌بین|میمون شرنبین
🙉;میمون شرنشنو;شر|شنیدن|صورت|ممنوع|میمون|میمون خوش‌باور|میمون شرنشنو
🙊;میمون شرنگو;شر|صورت|ممنوع|میمون|میمون خردمند|میمون خوش‌زبان|میمون شرنگو
💌;نامهٔ عاشقانه;ایمیل|عاشقانه|عشق|قلب|نامه|نامهٔ عاشقانه
💘;قلب تیرخورده;الههٔ عشق|تیر|عاشقانه|قلب|قلب تیرخورده|کوپید
💝;قلب با روبان;روبان|قلب|قلب با روبان|ولنتاین
💖;قلب درخشان;درخشش|قلب|قلب درخشان|هیجان‌زده
💗;قلب هیجان‌زده;تپش|عصبی|قلب|هیجان‌زده
💓;قلب تپنده;تپش|تپیدن|قلب|قلب تپنده
💞;قلب چرخان;چرخان|قلب
💕;دو قلب;دو قلب|عشق|قلب
💟;قلب تزئینی;تزئین|قلب|قلب تپنده|قلب تزئینی|قلب درخشان
❣️;علامت تعجب قلبی;سجاوندی|علامت|علامت تعجب|علامت تعجب قلبی|قلب|نشانه‌گذاری
💔;قلب شکسته;شکستن|شکسته|قلب
❤️‍🔥;قلب در آتش;سوزاندن|شهوت|عشق|قلب|قلب در آتش|قلب مقدس
❤️‍🩹;قلب التیام‌یافته;التیام‌یافته|تندرست|خوب شدن|در حال بازیابی|در حال بهبود|سالم‌تر|قلب التیام‌یافته
❤️;قلب قرمز;قلب|قلب قرمز
🩷;قلب صورتی;بامزه|دوست داشتن|صورتی|عشق|قلب
🧡;قلب نارنجی;قلب نارنجی|نارنجی
💛;قلب زرد;زرد|قلب
💚;قلب سبز;سبز|قلب
💙;قلب آبی;آبی|قلب آبی
🩵;قلب آبی کم‌رنگ;آبی روشن|آبی کم‌رنگ|سبزآبی|قلب|قلب آبی کم‌رنگ
💜;قلب بنفش;بنفش|قلب بنفش
🤎;قلب قهوه‌ای;قلب|قهوه‌ای
🖤;قلب سیاه;سنگ‌دل|سیاه|سیاه‌دل|شرور|شیطانی|قلب سیاه
🩶;قلب خاکستری;خاکستری|رنگ خاکستری لوح|قلب|نقره‌ای
🤍;قلب سفید;سفید|قلب
💋;بوسه ماتیکی;بوسه|بوسه ماتیکی|بوسهٔ ماتیکی|عاشقانه|علامت|قلب|لب
💯;۱۰۰ امتیاز;۱۰۰|امتیاز|تمام|صد|کامل|نمره
💢;نماد عصبانیت;دیوانه|عصبانی|کمیک|مصور|نماد عصبانیت
💥;برخورد;برخورد|بوم|صدای انفجار|کمیک|مصور
💫;سرگیجه;ستاره|سرگیجه|کمیک|مصور
💦;قطره‌های عرق;تراوش|عرق|قطره‌های عرق|کمیک|مصور
💨;به سرعت باد;به سرعت باد|دوان|سریع|کمیک|گرد پا|مصور
🕳️;چاله;چاله|سوراخ
💬;بالن گفتار;بالن|بالن گفتار|حباب|دیالوگ|کمیک|گفتگو|مصور
👁️‍🗨️;چشم در حباب گفتار;چشم در حباب گفتار|حباب گفتار|کمپین منع قلدری|گفتگو|من شاهدم
🗨️;حباب گفتار چپ;حباب گفتار چپ|دیالوگ|گفتگو
🗯️;حباب خشم راست;بالن|جنون|حباب|حباب خشم راست|دیوانه|عصبانی
💭;بالن افکار;بالن|بالن افکار|حباب|فکر|کمیک|مصور
💤;خروپف;خروپف|خواب|کمیک|مصور

[people_body]
👋;تکان دادن دست;تکان|تکان دادن|تکان دادن دست|دست
	👋🏻;تکان دادن دست: پوست سفید;پوست سفید|تکان|تکان دادن|تکان دادن دست|تکان دادن دست: پوست سفید|دست
	👋🏼;تکان دادن دست: پوست روشن;پوست روشن|تکان|تکان دادن|تکان دادن دست|تکان دادن دست: پوست روشن|دست
	👋🏽;تکان دادن دست: پوست طلایی;پوست طلایی|تکان|تکان دادن|تکان دادن دست|تکان دادن دست: پوست طلایی|دست
	👋🏾;تکان دادن دست: پوست گندمی;پوست گندمی|تکان|تکان دادن|تکان دادن دست|تکان دادن دست: پوست گندمی|دست
	👋🏿;تکان دادن دست: پوست آبنوسی;پوست آبنوسی|تکان|تکان دادن|تکان دادن دست|تکان دادن دست: پوست آبنوسی|دست
🤚;پشت دست روبه بالا;اجازه|بالا بردن دست|پشت دست|پشت دست روبه بالا|دست|موافقت
	🤚🏻;پشت دست روبه بالا: پوست سفید;اجازه|بالا بردن دست|پشت دست|پشت دست روبه بالا|پشت دست روبه بالا: پوست سفید|پوست سفید|دست|موافقت
	🤚🏼;پشت دست روبه بالا: پوست روشن;اجازه|بالا بردن دست|پشت دست|پشت دست روبه بالا|پشت دست روبه بالا: پوست روشن|پوست روشن|دست|موافقت
