# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|মুখে দেঁতো হাসি|হাসি
😃;বড় বড় চোখ করে হাসি মুখ;খোলা|ঠোঁট|বড় বড় চোখ করে হাসি মুখ|ব্যক্তি|মুখ|হাসি
😄;খোলা মুখে চোখে হাসির সাথে মুখে হাসি;খোলা|খোলা মুখে চোখে হাসির সাথে মুখে হাসি|চোখ|ঠোঁট|মুখ|হাসি
😁;চোখে হাসির সাথে মুখে দেঁতো হাসি;চোখ|চোখে হাসির সাথে মুখে দেঁতো হাসি|দাঁত|দেঁতো হাসি|মুখ|হাসি
😆;চোখ বন্ধ করে দেঁতো হাসি;খোলা|চোখ বন্ধ|চোখ বন্ধ করে দেঁতো হাসি|জোরে হাসা|ঠোঁট|মুখ|সন্তুষ্ট|হা হা হা|হাসতে হাসতে|হাসি
😅;মুখ খোলা এবং ঠাণ্ডা ঘামের সাথে মুখে হাসি;উত্তেজিত|কপালে টেনশন মুখে হাসি|খোলা|ঘর্মাক্ত অবস্থা|ঘাম|ঠান্ডা|মুখ|মুখ খোলা এবং ঠাণ্ডা ঘামের সাথে মুখে হাসি|হাসি
🤣;হেসে মাটিতে লুটোপুটি খাওয়া;গড়াগড়ি|চোখে জল|চোখে পানি|মাটি|মুখ|স্মাইলি|হাসি|হেসে মাটিতে লুটোপুটি খাওয়া
😂;আনন্দের কান্না ভরা মুখ;আনন্দ|আনন্দের কান্না ভরা মুখ|কান্না|চোখে পানি|জোরে হাসা|মুখ|হা হা হা|হাসতে হাসতে চোখে জল|হাসিকান্না
🙂;মুখে সামান্য হাসি;মুখ|মুখে সামান্য হাসি|হাসি
🙃;মাথাটা নিচে তলাটা উপরে এমন মুখ;উল্টো|ওল্টানো চেহারা|মাথাটা নিচে তলাটা উপরে এমন মুখ|মুখ
🫠;গলিত মুখ;অদৃশ্য|উত্তাপ|গরম|গলা|গলিত মুখ|গলে জল|গলে যাওয়া|তরল|ব্যাঙ্গাত্মক|লজ্জিত|হা হা
