[smileys_emotion]
😀;mặt cười toe toét;cười toe toét|mặt|mặt cười toe toét
😃;mặt cười miệng há với mắt to;cười|há to|mặt|mặt cười mắt mở to|mặt cười miệng há với mắt to|miệng
😄;mặt cười miệng há mắt cười;cười|mắt|mặt|mặt cười miệng há mắt cười|miệng|mở
😁;mặt cười nhe răng và mắt cười;cười|cười nhe răng và mắt cười|mắt|mặt|mặt cười nhe răng và mắt cười
😆;mặt cười miệng há mắt nhắm chặt;cười|cười to|hài lòng|mặt|mặt cười miệng há mắt nhắm chặt|miệng
😅;mặt cười toát mồ hôi;cười|lạnh|mặt|mặt cười miệng há mồ hôi|mặt cười toát mồ hôi|mở|mồ hôi
🤣;mặt cười lăn cười bò;cười|lăn|mặt|mặt cười lăn cười bò|sàn
😂;mặt cười với nước mắt vui sướng;cười|mặt|mặt cười với nước mắt vui sướng|nước mắt|vui sướng
🙂;mặt cười mỉm;cười|mặt|mặt cười mỉm
🙃;mặt lộn ngược;lộn ngược|mặt|mặt lộn ngược
🫠;mặt tan chảy;biến mất|chất lỏng|hòa tan|mặt tan chảy|tan chảy
😉;mặt nháy mắt;mặt|mặt nháy mắt|nháy mắt
😊;mặt cười híp mắt;cười|đỏ mặt|mắt|mặt|mặt cười híp mắt|mặt mỉm cười với hai mắt híp lại
😇;mặt cười có hào quang;giả tưởng|hào quang|mặt|mặt cười có hào quang|ngây thơ|thiên thần
🥰;mặt cười với 3 trái tim;mặt cười với 3 trái tim|phải lòng|yêu|yêu quý
😍;mặt cười mắt hình trái tim;cười|mắt|mặt|mặt cười mắt hình trái tim|yêu
🤩;ngưỡng mộ;cười toét|mắt|mặt|ngôi sao|ngưỡng mộ
😘;mặt đang hôn gió;hôn|mặt|mặt đang hôn gió
😗;mặt hôn;hôn|mặt
☺️;mặt cười;cười|mặt|thoải mái|thư giãn
😚;mặt hôn mắt nhắm;hôn|mắt|mặt|nhắm
😙;mặt hôn mắt cười;cười|hôn|mắt|mặt
🥲;mặt cười với nước mắt;biết ơn|mặt cười với nước mắt|mỉm cười|nhẹ nhõm|nước mắt|tự hào|xúc động
😋;mặt thưởng thức món ngon;cười|mặt|mặt thưởng thức món ngon|ngon|ngon tuyệt|thưởng thức
😛;mặt lè lưỡi;lưỡi|mặt|mặt lè lưỡi
😜;mặt lè lưỡi nháy mắt;lưỡi|mắt|mặt|mặt lè lưỡi nháy mắt|nháy mắt|nói đùa
🤪;mặt làm trò hề;lớn|mắt|mặt làm trò hề|ngốc|nhỏ
😝;mặt thè lưỡi mắt nhắm chặt;hương vị|kinh khủng|lưỡi|mắt|mặt|mặt thè lưỡi mắt nhắm chặt
🤑;mặt có tiền ở miệng;mặt|mặt có tiền ở miệng|miệng|tiền
🤗;mặt ôm;mặt|ôm
🤭;mặt với tay che miệng;mặt với tay che miệng|xin lỗi
🫢;mặt với cặp mắt mở to và tay che miệng;hoài nghi|kính nể|kinh ngạc|mặt với cặp mắt mở to và tay che miệng|ngạc nhiên|sợ hãi|xấu hổ
🫣;mặt hé mắt nhìn trộm;mặt hé mắt nhìn trộm|nhìn chằm chằm|nhìn lén|nhìn trộm|quyến rũ
🤫;mặt ra dấu suỵt;im lặng|mặt ra dấu suỵt|suỵt
