# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;cerenje;cerenje|lice
😃;kez;kez|lice|osmijeh|otvorena usta
😄;kez sa škiljenjem;kez sa škiljenjem|lice|oči|osmijeh|usta
😁;cerenje sa škiljenjem;cerenje|cerenje sa škiljenjem|lice|oči|osmijeh|škiljenje
😆;kez žmireći;kez žmireći|lice|smijeh|zadovoljstvo
😅;kez uz hladan znoj;hladan znoj|kez uz hladan znoj|lice|osmijeh
🤣;valjanje od smijeha;lice|pod|smijeh|valjanje|valjanje od smijeha
😂;plakanje od smijeha;lice|plakanje od smijeha|radost|smijeh|suza
🙂;diskretni osmijeh;diskretni osmijeh|lice|osmijeh
🙃;naglavačke;lice|naglavačke|obrnuto
🫠;lice koje se topi;lice koje se topi|nestati|otapati|tekućina|topiti
😉;namigivanje;lice|mig|namigivanje
😊;širok osmijeh;lice|oko|osmijeh|rumen|širok osmijeh
😇;oreol iznad glave;anđeo|fantazija|lice|nevin|oreol|oreol iznad glave
🥰;nasmijano lice sa srcima;nasmijano lice sa srcima|obožavanje|zaljubiti se|zaljubljenost
😍;osmijeh sa srcima u očima;lice|ljubav|osmijeh|osmijeh sa srcima u očima|srce
🤩;zvjezdane oči;cerenje|lice|oči|zvijezda|zvjezdane oči
😘;slanje poljupca;lice|poljubac|slanje poljupca|srce
😗;davanje poljupca;davanje poljupca|lice|poljubac
☺️;osmijeh;lice|ocrtano|opušten|osmijeh
😚;poljubac žmireći;lice|oko|poljubac|poljubac žmireći|žmirenje
😙;poljubac sa škiljenjem;lice|oko|osmijeh|poljubac|poljubac sa škiljenjem
🥲;nasmijano lice sa suzom;dirnutost|nasmijano lice sa suzom|olakšanje|ponos|smiješak|suza|zahvalnost
😋;oblizivanje;lice|njam njam|oblizivanje|ukusno|žderanje
😛;ruganje;isplažen|jezik|lice|ruganje
😜;ruganje s namigivanjem;jezik|lice|mig|ruganje s namigivanjem|šala
