# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;režeči obraz;obraz|režanje|režeči obraz
😃;smejoči obraz z odprtimi usti;nasmeh|obraz|odprto|smejoči obraz z odprtimi usti|usta
😄;smejoči obraz z odprtimi usti in smejočimi očmi;nasmeh|obraz|oči|odprto|smejoči obraz z odprtimi usti in smejočimi očmi|usta
😁;režeči obraz s smejočimi očmi;nasmeh|obraz|oči|režanje|režeči obraz s smejočimi očmi
😆;smejoči obraz z odprtimi usti in trdno zaprtimi očmi;nasmeh|obraz|odprto|smejoči obraz z odprtimi usti in trdno zaprtimi očmi|usta|zadovoljno
😅;smejoči obraz z odprtimi usti in mrzlim potom;mrzlo|nasmeh|obraz|odprto|pot|smejoči obraz z odprtimi usti in mrzlim potom
🤣;krohotanje;krohotanje|smeh|tla|valjanje po tleh
😂;obraz s solzami veselja;obraz|obraz s solzami veselja|smeh|solze|veselje
🙂;rahlo smejoči obraz;nasmeh|obraz|rahlo smejoči obraz
🙃;na glavo obrnjen obraz;na glavo obrnjen obraz|narobe obrnjeno|obraz
🫠;taleči se obraz;izginjanje|raztapljanje|taleči se obraz|taljenje|tekočina
😉;obraz s pomežikom;obraz|obraz s pomežikom|pomežik
😊;smejoči obraz s smejočimi očmi;nasmeh|obraz|oči|smejoči obraz s smejočimi očmi|zardevanje
😇;smejoči obraz s svetniškim sijem;angel|avra|fantazija|nasmeh|nedolžno|obraz|smejoči obraz s svetniškim sijem
🥰;smejoči obraz s srčki;ljubezen|oboževanje|smejoči obraz s srčki|zaljubljenost
😍;smejoči obraz z očmi v obliki srčka;ljubezen|nasmeh|obraz|oči|smejoči obraz z očmi v obliki srčka|srce
🤩;obraz z očmi v obliki zvezdic;obraz z očmi v obliki zvezdic
😘;obraz, ki pošlje ljubčka;ki pošlje ljubčka|obraz|obraz, ki pošlje ljubčka|poljub|srce
😗;obraz, ki poljublja;ki poljublja|obraz|obraz, ki poljublja|poljub
☺️;smejoči obraz;nasmeh|obraz|obris|smejoči obraz|sproščeno
😚;obraz z zaprtimi očmi, ki poljublja;ki poljublja|obraz|obraz z zaprtimi očmi|obraz z zaprtimi očmi, ki poljublja|oči|poljub|zaprto
😙;obraz s smejočimi očmi, ki poljublja;ki poljublja|nasmeh|obraz|obraz s smejočimi očmi|obraz s smejočimi očmi, ki poljublja|oči|poljub
🥲;smejoči obraz s solzo;ganjenost|hvaležnost|nasmeh|olajšanje|ponos|smejoči obraz s solzo|solza
😋;obraz, ki z užitkom pomalica okusno hrano;ki z užitkom pomalica okusno hrano|nasmeh|njam|obraz|obraz, ki z užitkom pomalica okusno hrano|okušanje|slastno
😛;obraz z molečim jezikom;jezik|obraz|obraz z molečim jezikom
😜;obraz z molečim jezikom in pomežikom;jezik|mežik|obraz|obraz z molečim jezikom in pomežikom|oči|šala
🤪;nor obraz;majhen|nor obraz|oko|velik
😝;obraz z molečim jezikom in zaprtimi očmi;grozno|jezik|obraz|obraz z molečim jezikom in trdno zaprtimi očmi|obraz z molečim jezikom in zaprtimi očmi|oči|okus
🤑;obraz z denarjem namesto ust;denar|obraz|obraz z denarjem namesto ust|usta
🤗;obraz, ki objema;ki objema|objem|objemanje|obraz|obraz, ki objema
🤭;obraz z roko čez usta;obraz z roko čez usta
🫢;obraz z razprtimi očmi in roko pred usti;nejevera|obraz z razprtimi očmi in roko pred usti|osuplost|presenečenost|prestrašenost|sram|začudenje
🫣;obraz s pogledujočim očesom;obraz s pogledujočim očesom|pogledovanje|prevzetost|strmenje
🤫;obraz s prstom čez usta;obraz s prstom čez usta
🤔;razmišljujoči obraz;obraz|razmišljanje|razmišljujoči obraz
🫡;salutirajoč obraz;da|enote|salutirajoč obraz|salutiranje|sončno|strinjanje|v redu
🤐;obraz z usti v obliki zadrge;obraz|obraz z usti v obliki zadrge|usta|zadrga|zapečateno|zaprto
🤨;obraz z dvignjenimi obrvmi;obraz z dvignjenimi obrvmi
😐;nevtralni obraz;mrtvo hladno|nevtralni obraz|nevtralno|obraz
😑;brezizrazni obraz;brezizrazni obraz|brezizrazno|neprizadeto|obraz|prazno
😶;obraz brez ust;molčeče|obraz|obraz brez ust|tiho|usta
🫥;obraz s črtkasto črto;introvertiranost|izginjanje|nevidnost|obraz s črtkasto črto|potrtost|skrivanje
😶‍🌫️;obraz v oblakih;glava v oblakih|obraz v megli|obraz v oblakih|odsoten
😏;obraz s privoščljivim nasmeškom;obraz|obraz s privoščljivim nasmeškom|privoščljiv nasmešek
😒;obraz s hladnim nasmeškom;nenaklonjeno|nezadovoljno|obraz|obraz s hladnim nasmeškom
🙄;obraz z zavijajočimi očmi;obraz|obraz z zavijajočimi očmi|oči|zavijanje
😬;spačen obraz;grimasa|obraz|spačen obraz
😮‍💨;obraz med izdihovanjem;godrnjanje|izdih|obraz med izdihovanjem|olajšanje|šepet|sopih|žvižganje
🤥;lažnivi obraz;laž|lažnivec|lažnivi obraz|ostržek
🫨;tresoči se obraz;obraz|potres|šok|tresenje|tresoči se obraz|vibriranje
🙂‍↔️;vodoravno premikanje glave;ne|odkimavanje|vodoravno premikanje glave
🙂‍↕️;navpično premikanje glave;da|navpično premikanje glave|prikimavanje
😌;olajšan obraz;obraz|olajšan obraz|olajšano
😔;brezvoljen obraz;brezvoljen obraz|brezvoljno|obraz|pobito
😪;zaspan obraz;obraz|spanje|zaspan obraz
🤤;obraz, ki se slini;ki se slini|obraz|obraz, ki se slini|slinjenje
😴;speči obraz;obraz|spanje|speči obraz|zzz
😷;obraz z medicinsko masko;bolno|maska|obraz|obraz z medicinsko masko|prehlad|zdravilo|zdravnik
🤒;obraz s termometrom;bolno|obraz|obraz s termometrom|slabotno|termometer
🤕;obraz, obvezan s povojem;obraz|obraz, obvezan s povojem|obvezan s povojem|poškodba|poškodovano|povoj
🤢;obraz, ki se počuti slabo;bruhanje|ki se počuti slabo|obraz|obraz, ki se počuti slabo|slabost
🤮;obraz, ki bruha;ki bruha|obraz|obraz, ki bruha
🤧;obraz, ki kiha;ki kiha|kihanje|na zdravje|obraz|obraz, ki kiha
🥵;vroč obraz;poten|rdeč obraz|vroč obraz|vroče|vročina|vročinska kap
🥶;mrzel obraz;ledene sveče|mrzel|mrzel obraz|ozebline|plav obraz|premražen
🥴;okajen obraz;okajen obraz|omotičen|različni očesi|v rožicah|valovita usta|vinjen
😵;omotičen obraz;obraz|omotičen obraz|omotično
😵‍💫;obraz s spiralnimi očmi;hipnoza|obraz s spiralnimi očmi|omotica|spirala|težave|vau
🤯;eksplozija v glavi;eksplozija v glavi
🤠;obraz s kavbojskim klobukom;kavboj|klobuk|obraz s kavbojskim klobukom
🥳;praznujoči obraz;hupa|klobuček|praznovanje|praznujoči obraz|zabava
🥸;maska;inkognito|maska|nos|obraz|očala|preobleka
😎;smejoči obraz s sončnimi očali;frajersko|obraz|smejoči obraz s sončnimi očali|sonce|sončna očala|svetlo
🤓;piflarski obraz;frik|obraz|piflar|piflarski obraz|znalec
🧐;obraz z monoklom;obraz z monoklom
😕;zmeden obraz;obraz|zmeden obraz|zmedeno
🫤;obraz s poševnimi usti;dvom|negotovost|obraz s poševnimi usti|razočaranost|vzdih
😟;zaskrbljen obraz;obraz|zaskrbljen obraz|zaskrbljeno
🙁;nekoliko namrščen obraz;mrščenje|nekoliko namrščen obraz|obraz
☹️;namrščen obraz;mrščenje|namrščen obraz|obraz
😮;obraz z odprtimi usti;obraz|obraz z odprtimi usti|odprto|sočutje|usta
😯;osupljen obraz;obraz|osupljen obraz|osuplo|presenečeno|tiho
😲;začuden obraz;frapirano|obraz|popolnoma|presenečeno|začuden obraz|začudeno
😳;zardeli obraz;obraz|zardeli obraz|zardelo|zmedeno
🥺;proseč obraz;kužkove oči|milost|moledovanje|proseč obraz
🥹;obraz, ki zadržuje jok;jeza|jok|ki zadržuje jok|obraz|obraz, ki zadržuje jok|ponos|upor|žalost
😦;namrščen obraz z odprtimi usti;namrščen obraz z odprtimi usti|namrščenost|obraz|odprto|usta
😧;trpeč obraz;obraz|trpeč obraz|trpeče
😨;bojazljiv obraz;bojazljiv obraz|obraz|preplašeno|prestrašeno|strah
😰;obraz z odprtimi usti in mrzlim potom;hladno|modro|obraz|obraz z odprtimi usti in mrzlim potom|odprto|pot|usta
