[smileys_emotion]
😀;활짝 웃는 얼굴;미소|스마일|얼굴|웃음|활짝 웃는 얼굴
😃;눈을 크게 뜨고 웃는 얼굴;눈을 크게 뜨고 웃는 얼굴|미소|스마일|얼굴|입 벌리고 웃는 얼굴
😄;미소 짓는 눈으로 활짝 웃는 얼굴;미소|미소 짓는 눈으로 활짝 웃는 얼굴|스마일|얼굴|입 벌리고 웃는 눈웃음 얼굴
😁;미소 짓는 눈으로 웃는 얼굴;눈웃음|미소|미소 짓는 눈으로 웃는 얼굴|스마일|얼굴
😆;눈웃음짓는 얼굴;눈 감고 미소|눈 감고 웃는 얼굴|눈웃음짓는 얼굴|얼굴|입 벌리고 미소
😅;땀 흘리며 웃는 얼굴;땀 흘리며 웃는 얼굴|미소|스마일|식은땀|얼굴|웃고 있지만 당황한 얼굴|웃는 얼굴
🤣;바닥을 구르며 웃는 얼굴;구르기|데굴데굴|바닥|바닥을 구르며 웃는 얼굴|웃음
😂;기쁨의 눈물을 흘리는 얼굴;기쁨|기쁨의 눈물을 흘리는 얼굴|눈물|스마일|얼굴
🙂;살짝 미소 짓는 얼굴;미소|살짝 미소 짓는 얼굴|얼굴
🙃;거꾸로 된 얼굴;거꾸로 된 얼굴|뒤집힘|얼굴|위아래
🫠;녹아 내리는 얼굴;녹아 내리는 얼굴
😉;윙크하는 얼굴;얼굴|윙크|윙크하는 얼굴
😊;미소 짓는 눈으로 살짝 웃는 얼굴;눈웃음|미소|미소 짓는 눈으로 살짝 웃는 얼굴|스마일|얼굴|웃는 얼굴
😇;후광이 비치는 웃는 얼굴;미소|스마일|얼굴|웃는 얼굴|후광이 비치는 웃는 얼굴
🥰;하트와 함께 웃는 얼굴;반한|사랑에 빠진|사랑하는|하트와 함께 웃는 얼굴
😍;하트 눈 얼굴;사랑|얼굴|하트|하트 눈 얼굴|하트 뿅뿅 얼굴
🤩;반한 얼굴;반한 얼굴|별 눈|별 모양의 눈
😘;키스를 보내는 얼굴;뽀뽀|얼굴|키스|키스를 날리는 얼굴|키스를 보내는 얼굴
😗;키스하는 얼굴;뽀뽀|얼굴|입술을 내민 얼굴|키스|키스하는 얼굴
☺️;웃는 얼굴;미소|스마일|웃는 얼굴|웃음|웃음 짓는 얼굴
😚;눈을 감은 채로 키스하는 얼굴;눈을 감은 채로 키스하는 얼굴|뽀뽀|얼굴|키스
😙;미소 짓는 눈으로 키스하는 얼굴;미소 짓는 눈으로 키스하는 얼굴|뽀뽀|얼굴|웃으면서 뽀뽀하는 얼굴|웃으면서 입술을 내민 얼굴|키스
🥲;눈물 흘리며 웃는 얼굴;감사|긍지|눈물|눈물 흘리며 웃는 얼굴|미소|안도
😋;맛있는 음식을 음미하는 얼굴;맛있는 음식을 음미하는 얼굴|맛있어|맛있어하는 얼굴|얼굴
😛;혀를 내민 얼굴;메롱하는 얼굴|얼굴|혀를 내민 얼굴
😜;윙크하면서 혀를 내민 얼굴;얼굴|윙크하면서 메롱하는 얼굴|윙크하면서 혀를 내민 얼굴
🤪;괴짜 얼굴;괴짜|괴짜 얼굴|엉뚱한 얼굴|익살스러운 얼굴
😝;눈을 감고 메롱하는 얼굴;눈을 감고 메롱하는 얼굴|눈을 감고 혀를 내민 얼굴|얼굴
🤑;돈 모양의 입이 있는 얼굴;돈|돈 모양의 입이 있는 얼굴|얼굴|욕심|입|탐욕
🤗;포옹하고 있는 얼굴;반가워하는 얼굴|얼굴|포옹|포옹하고 있는 얼굴|환영
