# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;חיוך רחב;חיוך|חיוך רחב|מחייך|פרצוף|שמח
😃;פרצוף עם חיוך רחב ועיניים גדולות;חיוך|פה מחייך|פרצוף מחייך עם פה פתוח|פרצוף עם חיוך רחב ועיניים גדולות|פרצוף שמח
😄;פרצוף מחייך עם פה פתוח ועיניים מחייכות;חיוך|פרצוף מחייך|פרצוף מחייך עם פה פתוח ועיניים מחייכות|שמח
😁;פרצוף זורח עם עיניים מחייכות;זורח|חיוך|עיניים|פרצוף|פרצוף זורח עם עיניים מחייכות
😆;פרצוף מחייך בפה פתוח ועיניים עצומות;חיוך|עיניים עצומות|פרצוף מחייך|פרצוף מחייך בפה פתוח ועיניים עצומות|פרצוף מחייך עם פה פתוח ועיניים עצומות בחוזקה
😅;פרצוף מחייך עם טיפת זיעה;זיעה|מחייך|פרצוף מחייך|פרצוף מחייך עם טיפת זיעה|פרצוף מחייך עם פה פתוח וטיפת זיעה
🤣;מתגלגל על הרצפה מרוב צחוק;מתגלגל|מתגלגל על הרצפה מרוב צחוק|פרצוף|צחוק|רצפה
😂;פרצוף עם דמעות שמחה;דמעות|פרצוף|פרצוף עם דמעות שמחה|צחוק|שמח|שמחה
🙂;פרצוף עם חיוך קטן;חיוך|מחייך|פרצוף|פרצוף עם חיוך קטן|פרצוף עם חיוך קל
🙃;פרצוף הפוך;הפוך|פרצוף
🫠;פרצוף נמס;מתמוסס|נוזל|נמס|נעלם|פרצוף נמס
😉;פרצוף קורץ;פרצוף|קורץ|קריצה
😊;פרצוף מחייך עם עיניים מחייכות;חיוך|מסמיק|פרצוף מחייך עם עיניים מחייכות|פרצוף שמח
😇;פרצוף מחייך עם הילת מלאך;מחייך|מלאך|פרצוף|פרצוף מחייך עם הילת מלאך|תמים
🥰;פרצוף מחייך עם לבבות;הערצה|מאוהב|מעריץ|מת עליך|פרצוף מחייך עם לבבות|פרצוף מחייך עם לבבות סביבו
😍;פרצוף מחייך עם עיני לבבות;אהבה|חיוך|לבבות|מחייך|עיניים|פרצוף|פרצוף מחייך עם עיני לבבות
🤩;פרצוף עם עיני כוכבים;כוכבים|מחייך|עיניים|פרצוף|פרצוף עם עיני כוכבים|שמח
😘;פרצוף מפריח נשיקה;מנשק|נשיקה|פרצוף|פרצוף מפריח נשיקה
😗;פרצוף מנשק;מנשק|פרצוף
☺️;פרצוף מחייך;חיוך|מחייך|פרצוף|רגוע
😚;פרצוף מנשק עם עיניים סגורות;מנשק|סגורות|עיניים|פרצוף|פרצוף מנשק עם עיניים סגורות
😙;פרצוף מנשק עם עיניים מחייכות;חיוך|מנשק|עיניים|פרצוף|פרצוף מנשק עם עיניים מחייכות
🥲;פרצוף מחייך עם דמעה;גאווה|דומע|דמעה|מחייך|מרגש|מתרגש|פרצוף מחייך עם דמעה
😋;פרצוף של הנאה מאוכל טעים;טעים|יאמי|לשון|מחייך|פרצוף מתענג על אוכל טעים|פרצוף של הנאה מאוכל טעים
😛;פרצוף מוציא לשון;לשון|מחייך|פרצוף|פרצוף מוציא לשון
😜;פרצוף מוציא לשון וקורץ;לשון|מחייך|פרצוף|פרצוף מוציא לשון וקורץ|קורץ
🤪;פרצוף משוגע;גדולה|מוזר|עין|פסיכי|פרצוף משוגע|קטנה
😝;פרצוף מוציא לשון ועוצם עיניים בחוזקה;לשון|מחייך|עיניים עצומות|פרצוף|פרצוף מוציא לשון ועוצם עיניים בחוזקה
🤑;פרצוף עם סימני דולר בעיניים ובלשון;דולר|כסף|לשון|פרצוף|פרצוף עם סימני דולר בעיניים ובלשון|תאב בצע
🤗;פרצוף מחבק;חיבוק|ידיים|מחייך|פרצוף|פרצוף מחבק
🤭;פרצוף עם יד על הפה;אוי|אופס|טעות|פרצוף עם יד על הפה
