# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;にっこり笑う;スマイル|にっこり|にっこり笑う|笑う|笑顔|顔
😃;わーい;スマイル|わーい|笑顔|顔
😄;笑顔;スマイル|わーい|笑顔|顔
😁;にやっと笑う;スマイル|にやっと笑う|笑う|笑顔|顔
😆;きゃー;きゃー|スマイル|嬉しい|満足|笑顔|顔
😅;冷や汗笑顔;スマイル|冷や汗|冷や汗笑顔|笑顔|顔
🤣;笑い転げる;スマイル|笑い転げる|笑う|笑顔|顔
😂;嬉し泣き;スマイル|嬉し泣き|涙|笑う|笑顔|顔
🙂;微笑む;スマイル|微笑み|微笑む|笑顔|顔
🙃;さかさまの顔;さかさま|さかさまの顔|顔
🫠;溶けている顔;とろける|液体|溶けそう|溶けている顔|溶ける|顔
😉;ウインク;ウィンク|ウインク|顔
😊;にこにこ;スマイル|にこにこ|微笑み|目を細める|頬を赤らめる|顔
😇;天使の輪がついた笑顔;スマイル|天使の輪|天使の輪がついた笑顔|笑顔|顔
🥰;ハートの笑顔;ハートの笑顔|メロメロ|ラブ|夢中|笑顔|顔
😍;目がハートの笑顔;スマイル|ハート|ラブ|目がハートの笑顔|笑顔|顔
🤩;目が星の笑顔;スマイル|星|目が星の笑顔|笑顔|顔
😘;投げキッス;キス|ちゅっ|ハート|投げキッス|顔
😗;キス;キス|ちゅっ|顔
☺️;スマイリー;スマイリー|スマイル|ほっ|笑顔|顔
😚;ちゅっ;キス|ちゅっ|目を閉じる|顔
😙;にっこりキス;キス|スマイル|ちゅっ|にっこりキス|笑顔|顔
🥲;嬉し涙の顔;じーん|嬉し涙の顔|感動|泣く|涙|顔
😋;にこにこぺろり;うまい|おいしい|スマイル|にこにこぺろり|笑顔|顔
😛;舌を出した顔;べー|べろ|舌|舌を出した顔|顔
😜;あっかんべー;あっかんべー|ジョーク|べー|冗談|舌|顔
🤪;ふざけた顔;おかしい|ジョーク|ふざけ|ふざけた顔|顔
😝;目を閉じてべー;べー|べろ|わーい|目を閉じてべー|舌|顔
🤑;お金の顔;お金の顔|べー|べろ|舌|顔
🤗;ハグ;スマイル|ハグ|笑顔|顔
🤭;口に手を当てた顔;クスクス|スマイル|内緒|口に手を当てた顔|笑顔|顔
🫢;目を開けて口に手を当てた顔;おそれ|おののき|びっくり|目を開けて口に手を当てた顔|顔|驚き
🫣;指の間からのぞき見る顔;こわごわ|のぞき見|指の間からのぞき見る顔|盗み見|顔
🤫;しーっ;しー|しーっ|しっ|静かに|顔
🤔;考える顔;うーん|考える|考える顔|考え中|顔
🫡;敬礼する顔;オーケー|了解|敬礼|敬礼する顔|軍隊|顔
🤐;口チャック;チャック|口|口チャック|顔
🤨;眉を上げた顔;疑い|眉を上げた顔|顔|驚き
😐;ポーカーフェイス;ポーカーフェイス|無表情|顔
😑;無表情;無感情|無表情|顔
😶;口のない顔;だんまり|口なし|口のない顔|沈黙|顔
🫥;点線の顔;内向的|内気|憂鬱|点線の顔|落胆|顔
😶‍🌫️;雲の中の顔;うわの空|ぼんやり|夢中|放心状態|雲の中の顔|顔
😏;薄笑いをする顔;にやり|ふっ|薄笑いをする顔|顔
😒;しらけた;ジト目|しらけ|しらけた|しらける|顔
🙄;上を見る顔;上を見る顔|上目|顔
😬;しかめ面;いー|しかめっ面|しかめ面|しかめ顔|顔
😮‍💨;息を吐く顔;あきらめ|ため息|ほっとした|安心|息を吐く顔|顔
🤥;うそつきの顔;うそつきの顔|ピノキオの顔|嘘つき|顔
🫨;震えている顔;ショック|地震|振動|震えている|震えている顔|顔
🙂‍↔️;首を横に振る;いいえ|不賛成|顔|首を振る|首を横に振る
🙂‍↕️;首を縦に振る;はい|頷く|顔|首を振る|首を縦に振る
😌;ほっとした顔;ほっ|ほっとした顔|安心|顔
😔;しょぼーん;しょぼーん|しょんぼり|顔
😪;眠い;寝る|眠い|眠る|顔
🤤;よだれを垂らした顔;よだれ|よだれを垂らした顔|顔
😴;寝る;zzz|寝る|眠い|眠る|顔
😷;マスク顔;マスク顔|病気|花粉症|顔|風邪
🤒;熱がある顔;体温計|熱がある顔|熱を測る|病気|顔|風邪
🤕;包帯を巻いた顔;ケガ|ケガしてる顔|包帯|包帯を巻いた顔|顔
🤢;吐き気を催している顔;具合の悪い顔|吐き気を催している顔|気持ち悪い|病気|顔
🤮;嘔吐する顔;げろ|嘔吐する顔|気持ち悪い|病気|顔
🤧;くしゃみする顔;くしゃみ|くしゃみする顔|花粉症|顔|風邪
🥵;暑い顔;暑い顔|暑さ|汗|熱中症|発熱|赤い顔
🥶;寒い顔;しもやけ|つらら|凍え|寒い顔|寒さ|青い顔
🥴;ふらふらの顔;うつろな目|ふらふらの顔|べろんべろん|ほろ酔い|めまい|中毒
😵;めまい;ふらふら|めまい|顔
😵‍💫;目を回した顔;ふらふら|めまい|渦巻き|目がぐるぐる|目が回る|目を回した顔
🤯;頭爆発;ショック|ぼんっ|爆発|頭爆発|顔|驚き
🤠;カウボーイの顔;カウガール|カウボーイ|カウボーイの顔|顔
🥳;パーティーの顔;お祝い|パーティー|パーティーの顔|帽子|笛
🥸;変装した顔;ひげ|メガネ|仮装|変装|変装した顔|顔
😎;サングラスで笑顔;クール|サングラスで笑顔|スマイル|笑顔|顔
🤓;オタク;オタク|マニア|メガネ|顔
🧐;モノクルを付けた顔;メガネ|モノクルを付けた顔|片眼鏡|考える|顔
😕;混乱;困惑|混乱|顔
🫤;口が斜めの顔;口が斜めの顔|困惑|無気力|無関心|顔
😟;悩む顔;心配|悩む顔|顔
🙁;少し困った顔;しかめ面|困った|少し困った|少し困った顔|顔
☹️;困った顔;しかめ面|困った|困った顔|顔
😮;口が開いた顔;へー|共感|口が開いた顔|顔
😯;ぽかーん;びっくり|びっくり顔|ぽかーん|顔|驚き
😲;びっくり;びっくり|びっくりした顔|顔|驚き|驚愕
😳;赤面;赤くなる|赤面|顔
🥺;訴えるような顔;子犬の目|情け|懇願|訴えるような顔|顔
🥹;涙をこらえた顔;うるうる|懇願|泣き顔|涙|涙をこらえた顔|顔
😦;あきれ顔;あきれ顔|しかめ面|しかめ顔|不本意|不満|顔
😧;苦悩;苦悩|苦悶|顔
😨;青ざめ;がーん|青ざめ|顔
😰;冷や汗青ざめ;冷や汗|冷や汗青ざめ|青ざめ|顔
😥;どうしよう;どうしよう|困った|汗|顔
😢;泣き顔;悲しい|泣き顔|泣く|涙|顔
😭;大泣き;号泣|大泣き|悲しい|泣く|涙|顔
😱;恐怖;がーん|ショック|叫び|恐怖|顔
😖;困惑した顔;困惑|困惑した顔|混乱|顔
😣;我慢;我慢|顔
😞;失望した顔;がっかり|がっくり|失望した顔|顔
😓;冷や汗;冷や汗|肝を冷やした|顔
😩;あきらめ;あきらめ|疲れ|顔
😫;疲れた;疲れ|疲れた|限界|顔
🥱;あくびした顔;あくびした顔|ふあ～|疲れ|眠い|退屈|顔
😤;勝ち誇った顔;ふんっ|勝ち誇った顔|得意気|顔|鼻息
😡;ふくれっ面;かんかん|ふくれっ面|怒り|激怒|顔
😠;ぷんぷん;ぷんぷん|怒り|顔
🤬;ののしる;ののしり|ののしる|怒り|顔
😈;笑った悪魔;スマイル|デビル|悪魔|笑った悪魔|笑顔|顔
👿;怒った悪魔;かんかん|デビル|怒った悪魔|悪魔|激怒|顔
💀;ドクロ;スカル|ドクロ|死|顔|骸骨
☠️;ドクロと骨;スカル|ドクロ|ドクロと骨|顔|骸骨
💩;うんち;うんこ|うんち|顔
🤡;ピエロの顔;ピエロ|ピエロの顔|顔
👹;鬼;お面|なまはげ|化け物|鬼
👺;天狗;お面|天狗
👻;お化け;お化け|ゴースト|ユーレイ|幽霊
👽;エイリアン;UFO|エイリアン|ユーフォー|宇宙人|異星人|顔
👾;インベーダー;インベーダー|エイリアン|モンスター|宇宙人|異星人
🤖;ロボット;ロボット|顔
😺;にっこり笑う猫;スマイル|にっこり笑う猫|猫|笑顔|顔
😸;にやっと笑う猫;スマイル|にやっと笑う猫|猫|笑う|笑顔|顔
😹;嬉し泣きする猫;スマイル|嬉し泣きする猫|涙|猫|笑顔|顔
😻;目がハートの猫;スマイル|ハート|猫|目がハートの猫|笑顔|顔
😼;にやりとする猫;にやり|にやりとする猫|ふっ|猫|顔
😽;猫のキス;キス|ちゅっ|猫|猫のキス|顔
🙀;絶望する猫;がーん|ショック|びっくり|猫|絶望する猫|顔
😿;泣いている猫;悲しい|泣いている猫|涙|猫|顔
😾;不機嫌な猫;ぷんぷん|不機嫌|不機嫌な猫|猫|顔
🙈;見ざる;三猿|猿|見ざる
🙉;聞かざる;三猿|猿|聞かざる
🙊;言わざる;三猿|猿|言わざる
💌;ラブレター;ハート|ラブレター|封筒|恋文|手紙
💘;ハートに矢;キューピッド|ハート|ハートに矢|矢
💝;ハートにリボン;ハート|ハートにリボン|バレンタインデー|リボン
💖;きらきらハート;きらきら|きらきらハート|ハート
💗;大きくなるハート;ドキドキ|ときめき|ハート|大きくなるハート
💓;ドキドキするハート;ドキドキ|ドキドキするハート|ハート
