# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;दाँत दिखाता चेहरा;खीस|चेहरा|दाँत दिखाता चेहरा
😃;बड़ी आँखों वाला दाँत दिखाता चेहरा;खुले मुंह वाली मुस्कान|चेहरा|बड़ी आँखों वाला दाँत दिखाता चेहरा|मुस्काना|स्माइली|हंसी
😄;मुस्कुराती आँखों वाला दाँत दिखाता चेहरा;आँख|चेहरा|मुस्कुराती आँखों वाला दाँत दिखाता चेहरा|मुस्कुराहट|मुँह
😁;मुस्काती आँखों के साथ खींसें निपोरना;आँख|खीस|चेहरा|मुस्काती आँखों के साथ खींसें निपोरना|मुस्कुराहट
😆;बंद आँखों वाला दाँत दिखाता चेहरा;खुला मुंह|खुले मुंह वाली मुस्कान|चेहरा|बंद आंखें|बंद आँखों वाला दाँत दिखाता चेहरा|बंद आंखों वाली मुस्कान
😅;दाँत दिखाता पसीने वाला चेहरा;ठंडा पसीना|ठंडे पसीने वाली मुस्कान|दाँत दिखाता पसीने वाला चेहरा|मुस्कान लेकिन ठंडा पसीना
🤣;हँसते हँसते लोट-पोट होना;चेहरा|फ़र्श|लोटना|हँसते हँसते लोट-पोट होना|हँसी
😂;खुशी के आँसुओं वाला चेहरा;आँसू|खुशी|खुशी के आँसुओं वाला चेहरा|चेहरा|हँसी
🙂;हल्की मुस्कान वाला चेहरा;धीरे से हँसता चेहरा|स्माइली|हल्की मुस्कान वाला चेहरा|हौले से मुस्काना
🙃;उल्टा चेहरा;उल्टा चेहरा|चेहरा
🫠;पिघलता चेहरा;गायब|घुलता|तरल|पिघलता|पिघलता चेहरा
😉;आँख मारता चेहरा;आँख मारता चेहरा|आंख मारना|चेहरा
😊;मुस्काती आँखों वाला मुस्काता चेहरा;मुस्काता चेहरा|मुस्काता चेहरा और आंखें|मुस्काती आंखें|मुस्काती आँखों वाला मुस्काता चेहरा|मुस्कान
😇;प्रभामंडल वाली मुस्कान वाला चेहरा;चेहरा|प्रभामंडल|प्रभामंडल वाली मुस्कान|प्रभामंडल वाली मुस्कान वाला चेहरा|मुस्कान
🥰;प्यार में डूबा चेहरा;दुलार|प्यार में|प्यार में डूबा चेहरा|प्रेमी
😍;दिल के आकार वाली आँखों वाला मुस्काता चेहरा;आंखें|आंखें चार होना|दिल और आँखें|दिल के आकार वाली आँखों वाला मुस्काता चेहरा|दिल वाली आँखों का मुस्काता चेहरा|प्यार
🤩;सितारा आँखें;आँखें|चेहरे पर सितारे वाली आँखें|सितारा आँखें|सितारे|सितारों वाली आँखें
😘;चुंबन देता चेहरा;चुंबन देता चेहरा|चूमता चेहरा|चेहरा|चेहरे पर चुंबन देना
😗;चुंबन वाला चेहरा;चुंबन|चुंबन वाला चेहरा|चेहरा
☺️;मुस्काता चेहरा;चेहरा|मुस्काता चेहरा|शर्म से लाल चेहरा|स्माइली|हँसता चेहरा
😚;आँख बंद करके चूमता चेहरा;आँख बंद करके चूमता चेहरा|आँखों को बंद करके चूमता चेहरा|चूमना|चेहरा|बंद आँखें|बंद आँखों से चूमना
😙;मुस्काती आँखो के साथ चुंबन वाला चेहरा;चुंबन और मुस्कान|चेहरा|मुस्काती आंखें|मुस्काती आँखो के साथ चुंबन वाला चेहरा|मुस्कान|मुस्कुराती आँखो के साथ चुंबन वाला चेहरा
🥲;आँसुओं वाला मुस्काता चेहरा;आभारी|आँसुओं वाला मुस्काता चेहरा|आँसू|गर्व|चिंतामुक्त|प्रभावित|मुस्कान
😋;स्वादिष्ट खाने का मज़ा लेता चेहरा;चेहरा|मुस्काता चेहरा|स्वादिष्ट|स्वादिष्ट खाना|स्वादिष्ट खाने का मज़ा लेता चेहरा
😛;बाहर लटकी हुई जीभ वाला चेहरा;चेहरा|जीभ बाहर|जीभ बाहर रहना|बाहर लटकी हुई जीभ वाला चेहरा
😜;आँख मारते हुए और जीभ बाहर निकालता चेहरा;आँख मारते हुए और जीभ बाहर निकालता चेहरा|आंख मारते हुए जीभ बाहर|आंख मारना|चुटकुला|चेहरा|छेड़ना|जीभ बाहर
🤪;अजीबोगरीब मज़ाकिया चेहरा;अजीबोगरीब मज़ाकिया चेहरा|आँख|छोटा|बड़ा
😝;बंद आँखों के साथ जीभ बाहर निकालता चेहरा;आंखें बंद|चेहरा|जीभ बाहर|डरावना|बंद आंखों के साथ जीभ बाहर|बंद आँखों के साथ जीभ बाहर निकालता चेहरा|यक
🤑;धनयुक्त चेहरा;चेहरा|धनयुक्त चेहरा
🤗;गले लगाता हुआ चेहरा;गले लगाता हुआ|गले लगाता हुआ चेहरा|गले लगाना|चेहरा
🤭;मुँह पर हाथ रखे हुए चेहरा;खुशी या हैरानी से चिल्लाना|चीख|मुँह पर हाथ रखे हुए चेहरा|हू हू
🫢;खुली आँखें और मुँह पर हाथ वाला चेहरा;अविश्वास|आश्चर्य|खुली आँखें और मुँह पर हाथ वाला चेहरा|डरा हुआ|त्रास|विस्मय|शर्मिंदगी
🫣;उंगलियों के बीच से झांकता हुआ चेहरा;उंगलियों के बीच से झांकता हुआ चेहरा|एकटक देखना|झांकना|मोहित
🤫;शांत रहने का इशारा करता हुआ चेहरा;चुप|मौन|शांत|शांत रहने का इशारा करता हुआ चेहरा
🤔;सोचता हुआ चेहरा;चेहरा|विचारमग्न चेहरा|सोचता हुआ चेहरा
🫡;सलामी देता चेहरा;ठीक|धूप|सलाम|सलामी देता चेहरा|सैनिक|हाँ
🤐;ज़िपर-मुँह वाला चेहरा;चेहरा|ज़िपर-मुँह वाला चेहरा|मुंह
🤨;तनी हुई भौहों वाला चेहरा;अविश्वासी|तनी हुई भौहों वाला चेहरा|भौहें ताने हुआ चेहरा|शक्की
😐;भावहीन चेहरा;उदासीन|कोई टिप्पणी नहीं|चेहरा|भावहीन
😑;अभिव्यक्तिरहित चेहरा;अभिव्यक्तिरहित चेहरा|कोई टिप्पणी नहीं|चेहरा|भावशून्य
😶;बिना मुँह का चेहरा;चेहरा|बिना मुँह का चेहरा|मुंह रहित
🫥;बिंदीयुक्त रेखांकित चेहरा;अंतर्मुखी|अदृश्य|उदास|गायब|छिपाना|बिंदीयुक्त रेखांकित चेहरा
😶‍🌫️;बादलों से ढँका चेहरा;अनमना|अन्यमनस्क|खयालों में गुम|खोया-खोया|धुएँ से घिरा चेहरा|बादलों से ढँका चेहरा
😏;बनावटी हँसी वाला चेहरा;कृत्रिम हंसी|चेहरा|बनावटी हंसी|बनावटी हँसी वाला चेहरा
😒;अप्रसन्न चेहरा;अप्रसन्न|चेहरा|नाखुश
🙄;ऊपर देखती आँखों वाला चेहरा;आंखें|ऊपर देखती आंखें|ऊपर देखती आँखों वाला चेहरा|चेहरा
😬;मुंह बनाता चेहरा;खिसियाता चेहरा|चेहरा|दांत निकालना|मुंह बनाता चेहरा|मुंह बनाना
