# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;दाँत दिखाता चेहरा;खीस|खुश|चेहरा|दाँत दिखाता चेहरा|मजाकिया
😃;बड़ी आँखों वाला दाँत दिखाता चेहरा;खुले मुंह वाली मुस्कान|खुश|चेहरा|बड़ी आँखों वाला दाँत दिखाता चेहरा|मुस्काना|स्माइली|हंसी
😄;मुस्कुराती आँखों वाला दाँत दिखाता चेहरा;आँख|खुले मुंह वाली मुस्कान|खुश|चेहरा|मुस्कान|मुस्कुराती आँखों वाला दाँत दिखाता चेहरा|मुस्कुराहट|मुँह|हंसी
😁;मुस्काती आँखों के साथ खींसें निपोरना;आँख|खीस|खुश|चेहरा|दांत|मुस्काती आँखों के साथ खींसें निपोरना|मुस्काना|मुस्कुराहट
😆;बंद आँखों वाला दाँत दिखाता चेहरा;आँखे बंद करके हँसना|खुला मुंह|खुले मुंह वाली मुस्कान|खुश|खुशी|चेहरा|दाँत|बंद आंखें|बंद आँखों वाला दाँत दिखाता चेहरा|बंद आंखों वाली मुस्कान|मज़ाक|लोटपोट|हँसी|हाहा|हाहाहा|हीही|हेहे
😅;दाँत दिखाता पसीने वाला चेहरा;खुले मुंह और ठंडे पसीने वाली मुस्कान|चेहरा|ठंड|ठंडा पसीना|ठंडे पसीने वाली मुस्कान|दाँत दिखाता पसीने वाला चेहरा|मुस्कान लेकिन ठंडा पसीना
🤣;हँसते हँसते लोट-पोट होना;खुश|चेहरा|जोक|फ़र्श|बहुत मजाकिया था|मज़ाक|लोटना|लोटपोट|हँसते हँसते आँखों में आँसू आ गए|हँसते हँसते लोट-पोट होना|हँसना|हंसना|हँसी|हंसी|हाहाहा
😂;खुशी के आँसुओं वाला चेहरा;अजीब|आँसू|आंसू|कितना फ़नी है|खुश|खुशी|खुशी के आँसुओं वाला चेहरा|खुशी के आंसुओं वाला चेहरा|खुशी के आंसू|चेहरा|मज़ा आ गया|मजाकिया|मज़ेदार|हँसी|हाहा|हाहाहा|हीही|हेहे
🙂;हल्की मुस्कान वाला चेहरा;खुश|चेहरा|धीरे से हँसता चेहरा|मुस्काता हुआ चेहरा|मुस्कान|स्माइली|हल्की मुस्कान वाला चेहरा|हौले से मुस्काना
🙃;उल्टा चेहरा;उल्टा चेहरा|चेहरा
🫠;पिघलता चेहरा;haha|lol|गर्म|गर्मी|गायब|घुलता|तरल|ताना|ताना मारना|पिघलता|पिघलता चेहरा|पिघलना|शर्मिंदा|हाहा
😉;आँख मारता चेहरा;आँख मारता चेहरा|आंख मारता चेहरा|आंख मारना|चेहरा
😊;मुस्काती आँखों वाला मुस्काता चेहरा;मुस्काता चेहरा|मुस्काता चेहरा और आंखें|मुस्काती आंखें|मुस्काती आँखों वाला मुस्काता चेहरा|मुस्कान|शर्माना
😇;प्रभामंडल वाली मुस्कान वाला चेहरा;खुश|चेहरा|प्रभामंडल|प्रभामंडल वाली मुस्कान|प्रभामंडल वाली मुस्कान वाला चेहरा|मुस्कान
🥰;प्यार में डूबा चेहरा;चेहरा|दिल|दुलार|प्यार|प्यार में|प्यार में डूबा चेहरा|प्यारा|प्रेमी|लव|लव यू|हँसी|हंसी
😍;दिल के आकार वाली आँखों वाला मुस्काता चेहरा;आंखें|आंखें चार होना|दिल|दिल और आँखें|दिल के आकार वाली आँखों वाला मुस्काता चेहरा|दिल वाली आँखों का मुस्काता चेहरा|प्यार|प्रेममय|मुस्काता चेहरा
🤩;सितारा आँखें;आँखें|उत्तेजित|चेहरा|चेहरे पर सितारे वाली आँखें|तारा|मुस्कुराहट|वाह|सितारा आँखें|सितारे|सितारों वाली आँखें
😘;चुंबन देता चेहरा;चुंबन देता चेहरा|चूमता चेहरा|चेहरा|चेहरे पर चुंबन देना|प्रेम|प्रेमिका|प्रेमी
😗;चुंबन वाला चेहरा;चुंबन|चुंबन वाला चेहरा|चेहरा|प्यार|प्रेम|प्रेम में
☺️;मुस्काता चेहरा;खुश|चेहरा|मुस्काता चेहरा|शर्म से लाल चेहरा|स्माइली|हँसता चेहरा
😚;आँख बंद करके चूमता चेहरा;आँख बंद करके चूमता चेहरा|आँखों को बंद करके चूमता चेहरा|चूमना|चेहरा|बंद आँखें|बंद आँखों से चूमना|शर्माना
😙;मुस्काती आँखो के साथ चुंबन वाला चेहरा;चुंबन और मुस्कान|चेहरा|प्यार|प्रेम|मुस्काती आंखें|मुस्काती आँखो के साथ चुंबन वाला चेहरा|मुस्कान|मुस्कुराती आँखो के साथ चुंबन वाला चेहरा
🥲;आँसुओं वाला मुस्काता चेहरा;आभारी|आँसुओं वाला मुस्काता चेहरा|आँसू|खुशी के आँसू|गर्व|चिंतामुक्त|दर्द|दुख|दुखद|प्रभावित|मुस्कान|स्माइल|स्माइली
😋;स्वादिष्ट खाने का मज़ा लेता चेहरा;खाना|चेहरा|भोजन|मुस्काता चेहरा|स्वादिष्ट|स्वादिष्ट खाने का मज़ा लेता चेहरा
